"smis_reference","event_date","period","place","report_title","description","injury_degree_2013","fwi_2013"
SMIS3025476,2020-02-03 04:50:00.000,201912,Aylesbury LMD,Slip trip or fall,"1830/20 - Member of Depot staff tripped on manhole cover on A Road at Aylesbury Depot",Non-severe,0.001
SMIS021345,2020-02-03 08:12:00.000,201912,Bletchley LMD,Awkward Body Movement,Personal Accident - Manual Handling Injury - Bletchley (CEMEX) - ATM - OM West,Non-severe,0.001
SMIS2322035,2020-02-04 12:45:00.000,201912,Cricklewood Depot,"Person interacting with animal, object,  vehicle or another person","PA - a delivery driver from Travis Perkins walked into a stationary forklift at Cricklewood Depot (Amey Rail, IP Central Brent Cross Project) cutting his right shin. SCO 45415",Non-severe,0.001
SMIS2321994,2020-02-04 22:10:00.000,201912,Blackpool MDU,"Person interacting with animal, object,  vehicle or another person",Cleaner sustained injury,Non-severe,0.001
SMIS191418,2020-02-05 00:00:00.000,201912,Neville Hill LMD (Ns) Northern Rail,Other event resulting in injury or fatality,A Chef was inspecting vehicles overnight as part of their health and safety representative duties but strained their left shoulder climbing in and out of cabs for access.,Non-severe,0.001
SMIS2322856,2020-02-05 02:05:00.000,201912,Stourbridge Junction Sidings,"Person interacting with animal, object,  vehicle or another person","1945/20 - Train Presentation member of staff hit on the head by a door onboard 168216 in Stourbridge Siding",Non-severe,0.001
SMIS2322870,2020-02-05 08:30:00.000,201912,Aylesbury LMD,"Person interacting with animal, object,  vehicle or another person","2077/20 - Engineering Staff pulled their back whilst lifting brake cover at Aylesbury Depot.",Severe 7,0.01
SMIS2322069,2020-02-05 10:45:00.000,201912,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person","Fitter sustained injury to leg, sent to hospital",Severe 7,0.01
SMIS4353862,2020-02-05 13:00:00.000,201912,Brighton LMD,Personal accident form,"Staff injuries, Brighton Depot, 05/02/2020",Non-severe,0.001
SMIS4353862,2020-02-05 13:00:00.000,201912,Brighton LMD,Personal accident form,"Staff injuries, Brighton Depot, 05/02/2020",Non-severe,0.001
SMIS2322024,2020-02-06 23:30:00.000,201912,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",Contractor accident at Etches Park,Severe 7,0.01
SMIS3024443,2020-02-07 00:35:00.000,201912,Skipton MDU,Slip trip or fall,"Cleaner slipped on ice, injury sustained",Non-severe,0.001
SMIS4353947,2020-02-07 01:20:00.000,201912,Brighton LMD,Personal accident form,"Staff accident, Brighton Depot, 07/02/2020",Non-severe,0.001
SMIS2323852,2020-02-09 00:30:00.000,201912,Cardiff Canton LMD,"Person interacting with animal, object,  vehicle or another person",Minor Canton Depot Employee using a ratchet spanner struck his finger,Non-severe,0.001
SMIS2322059,2020-02-09 02:51:00.000,201912,Carnforth - Warton Road MDU,"Person interacting with animal, object,  vehicle or another person",PA - Works Delivery:  Member of staff sustained an ankle injury after a van door was blown shut onto it at Carnforth.,Non-severe,0.001
SMIS3024472,2020-02-10 11:30:00.000,201912,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,"Depot trainer slipped on step, injury sustained",Severe 7,0.01
SMIS2322289,2020-02-10 15:30:00.000,201912,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",Staff 02990 10/02/2020 Wimbledon TCD: Fitter caught their head on the underneath of a unit and strained their back. 3 days lost from duty,Non-severe,0.001
SMIS4335039,2020-02-10 16:10:00.000,201912,Salisbury LMD,Personal accident form,Staff Accident 10/02/2020 Salisbury Traincare Depot: member of fleet staff injured finger,Non-severe,0.001
SMIS2322145,2020-02-11 00:00:00.000,201912,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",Driver suffered a minor injury to her left 4th finger whilst closing cab window,Non-severe,0.001
SMIS3024514,2020-02-11 00:15:00.000,201912,Sudbury Dock,Slip trip or fall,Contractor STF in Sudbury Docks,Non-severe,0.001
SMIS3024497,2020-02-11 03:22:00.000,201912,Etches Park LMD (Derby),Slip trip or fall,Contractor accident at Etches Park,Non-severe,0.001
SMIS191356,2020-02-11 15:00:00.000,201912,Old Oak Common LMD (London),Other event resulting in injury or fatality,Walking route - Old Oak Common Depot,Non-severe,0.001
SMIS3025219,2020-02-12 03:10:00.000,201912,Hornsey LMD,Slip trip or fall,Driver S/T/F,Severe 7,0.01
SMIS2322163,2020-02-12 04:05:00.000,201912,Gillingham (Kent) MDU,"Person interacting with animal, object,  vehicle or another person","Gillingham depot needlestick injury, cleaner carrying bio bags",Non-severe,0.001
SMIS021308,2020-02-12 10:00:00.000,201912,Shields ET Depot,Awkward Body Movement,Staff member was removing rubbish and while lifting an item felt a sharp pain in his lower back,Non-severe,0.001
SMIS2322165,2020-02-12 12:05:00.000,201912,Slade Green LMD,"Person interacting with animal, object,  vehicle or another person","Engineering staff injured on wheel lathe, Slade Green",Non-severe,0.001
SMIS2322160,2020-02-12 12:50:00.000,201912,Westbury Depot,"Person interacting with animal, object,  vehicle or another person",PA Ganymede MOS was dragging and lifting some wooden sleepers in Westbury Down Goods Yard they pulled a muscle in their back on the right hand side,Non-severe,0.001
SMIS2322230,2020-02-13 00:00:00.000,201912,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",Technician at SPM strained his lower arm and elbow when lifting a heavy jack,Non-severe,0.001
SMIS2322251,2020-02-13 01:00:00.000,201912,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",TPO suffered needlle stick injury,Severe 7,0.01
SMIS191355,2020-02-13 12:00:00.000,201912,East Ham LMD (London),Other event resulting in injury or fatality,Train Cleaner reached into a litter bin and the lid closed against her lower right arm.,Non-severe,0.001
SMIS2322237,2020-02-14 00:00:00.000,201912,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",Staff Minor Accident at St Philips Marsh Depot,Non-severe,0.001
SMIS2322191,2020-02-14 03:50:00.000,201912,Westbury Depot,"Person interacting with animal, object,  vehicle or another person","PA West DU MOS was unloading the flat bed truck in Westbury P/Way yard when he was struck on the leg by a piece of scrap rail, cutting his right shin",Non-severe,0.001
SMIS021305,2020-02-14 10:00:00.000,201912,Slade Green LMD,Awkward Body Movement,Engineer strained back/neck undoing a coupler bolt,Non-severe,0.001
SMIS3024603,2020-02-14 12:19:00.000,201912,London Bridge Rear Sb MDU,Slip trip or fall,PA DU London Bridge - MOS tripped and injured his knee at London Bridge MDU,Non-severe,0.001
SMIS2322242,2020-02-15 04:20:00.000,201912,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",Contractor 03559 15/02/2020 Farnham TCD: Cleaner caught his head on the door handle when cleaning the doors on unit 450052.,Non-severe,0.001
SMIS2322241,2020-02-15 12:05:00.000,201912,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",Staff 53770 15/02/2020 Salisbury TCD: MB3 fitter injured their finger when the pinch bar they were using slipped and trapped their finger causing bruising.,Non-severe,0.001
SMIS3024597,2020-02-15 16:30:00.000,201912,Wimbledon LMD (London),Slip trip or fall,Staff 02989 15/02/2019 Wimbledon TCD: MB3 fell twisted their knee when carrying out an inspection on a unit in number 7 road.,Non-severe,0.001
SMIS4335020,2020-02-15 16:30:00.000,201912,Wimbledon LMD (London),Personal accident form,Staff Accident 15/02/2020 Wimbledon Traincare Depot: MB3 strained knee,Non-severe,0.001
SMIS191360,2020-02-15 19:09:00.000,201912,Freightliner Felixstowe,Other event resulting in injury or fatality,RO Personal Accident (Felixstowe South),Non-severe,0.001
SMIS2322372,2020-02-15 23:10:00.000,201912,Leyton CE Depot,"Person interacting with animal, object,  vehicle or another person",PA - Staff Accident - A member of staff sustained minor bruising to the hand after throwing a rail bar on a trolley causing another hand tool to bounce up and hit the IP's hand at Leyton.,Non-severe,0.001
SMIS2322222,2020-02-16 13:00:00.000,201912,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",Staff 51290 16/02/2020 Bournemouth TCD: Contractor cleaning battery box on a 159 unit reported dust entered their eye.,Non-severe,0.001
SMIS3024662,2020-02-17 06:21:00.000,201912,Ferme Park Sidings,Slip trip or fall,"17/02/20 5N90 Driver Fall at Ferme Park Sidings",Non-severe,0.001
SMIS3024666,2020-02-17 11:30:00.000,201912,Finnieston MDU,Slip trip or fall,PA - Works Delivery Contractor injured their left hand after slipping when entering the Finnieston S&T store,Non-severe,0.001
SMIS2322294,2020-02-17 21:45:00.000,201912,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",Staff 02993 17/02/2020 Wimbledon TCD: Depot Driver pulled a muscle in their back when operating number 44 points.,Non-severe,0.001
SMIS2322465,2020-02-17 23:05:00.000,201912,Cardiff Canton LMD,"Person interacting with animal, object,  vehicle or another person",Minor Canton Depot  Employee hurt shoulder unreeling hose,Non-severe,0.001
SMIS3024700,2020-02-18 02:00:00.000,201912,Crown Point LMD (Norwich),Slip trip or fall,Contractor miss footed in depot,Non-severe,0.001
SMIS4335007,2020-02-18 13:20:00.000,201912,Bournemouth West LMD,Personal accident form,Staff Accident 18/02/2020 Bournemouth Traincare Depot: staff member sprained ankle,Non-severe,0.001
SMIS3024687,2020-02-18 13:20:00.000,201912,Bournemouth West LMD,Slip trip or fall,"Staff 51289 18/02/2020 Bournemouth TCD: A Fleet Manager reported that when undertaking an assessment between 2 and 3 roads, they stood on a piece of ballast and sprained their ankle.",Non-severe,0.001
SMIS3025532,2020-02-18 21:45:00.000,201912,Aylesbury South siding DOWN,Slip trip or fall,"2901/20 - Contractor tripped over own boots at Aylesbury Depot",Non-severe,0.001
SMIS2322310,2020-02-18 23:45:00.000,201912,Eastcroft LMD (Nottingham),"Person interacting with animal, object,  vehicle or another person",Staff accident at Eastcroft,Non-severe,0.001
SMIS3024738,2020-02-19 11:44:00.000,201912,Tyseley LMD,Slip trip or fall,Driver fell on the ballast at Kings Heath Depot,Severe 7,0.01
SMIS021316,2020-02-19 13:30:00.000,201912,Crewe Iemd,Awkward Body Movement,Crewe IEMD T&RS Maintenance Manager  reports MTC has injured his right ankle whilst stepping down from the external cab door on locomotive 90026 (No.1 end drivers side). He felt something pull in his right ankle as he stepped from the door onto the top step to alight from the locomotive.,Non-severe,0.001
SMIS2322303,2020-02-19 15:25:00.000,201912,Holbeck Jcn & Depot (Leeds),"Person interacting with animal, object,  vehicle or another person",PA-IP Contractor struck in eye by flying piece of metal whilst using a band saw at Holbeck DU. SCO ref 45587.,Non-severe,0.001
SMIS191391,2020-02-19 23:15:00.000,201912,Crown Point LMD (Norwich),Other event resulting in injury or fatality,Contractor exposed to loud noise from Stadler horn,Non-severe,0.001
SMIS3024737,2020-02-20 00:35:00.000,201912,Cambridge Adj Mill Rd MDU,Slip trip or fall,Shunter STF in 2 rd - Cambridge,Non-severe,0.001
SMIS3025538,2020-02-20 00:50:00.000,201912,Banbury MDU,Slip trip or fall,"2969/20 - Member of depot staff's hand slipped when supporting themselves, jarring their back at Banbury Depot",Non-severe,0.001
SMIS4354413,2020-02-20 06:08:00.000,201912,Letchworth (LMD),Personal accident form,"Staff accident, Letchworth Sidings, 20/02/2020",Non-severe,0.001
SMIS3025539,2020-02-20 10:05:00.000,201912,Aylesbury - Station Way MDU,Slip trip or fall,"3014/20 - Member of stores staff slipped over on greasy slope at Aylesbury Depot stores entrance.",Non-severe,0.001
SMIS2322415,2020-02-20 12:00:00.000,201912,Ryde LMD,"Person interacting with animal, object,  vehicle or another person",Staff 53705 20/02/2020 Ryde TCD: Fitter sustained graze to nose when bolt jammed when being undone with a powered drill.,Non-severe,0.001
SMIS2322490,2020-02-20 15:45:00.000,201912,Heaton LMD,"Person interacting with animal, object,  vehicle or another person","Fitter struck by pallet, injury sustained",Non-severe,0.001
SMIS4354440,2020-02-20 23:01:00.000,201912,Lovers Walk TMD,Personal accident form,"Staff accident Brighton Lovers Walk Depot, 20/02/2020",Non-severe,0.001
SMIS2322427,2020-02-21 12:45:00.000,201912,East Ham LMD (London),"Person interacting with animal, object,  vehicle or another person",Train Care Assistant cut left eyelid whilst undertaking duties at East Ham depot,Non-severe,0.001
SMIS3025223,2020-02-21 12:50:00.000,201912,Streatham Hill LMD (London),Slip trip or fall,Staff S/T/F,Specified,0.125
SMIS2322399,2020-02-21 23:00:00.000,201912,Crown Point LMD (Norwich),"Person interacting with animal, object,  vehicle or another person",VMI Tech struck head on locator bar of 755423,Non-severe,0.001
SMIS2322356,2020-02-21 23:00:00.000,201912,Stafford - Brunswick Terrace MDU,"Person interacting with animal, object,  vehicle or another person",PA - Stafford DU Technician suffered minor head injury due to collapsing chair at Stafford DU.,Non-severe,0.001
SMIS3024794,2020-02-22 00:00:00.000,201912,Bristol St Philips Marsh LMD,Slip trip or fall,FO3 Technician STF accident at Marsh Junction,Severe 7,0.01
SMIS2322906,2020-02-22 01:00:00.000,201912,Aylesbury LMD,"Person interacting with animal, object,  vehicle or another person","3729/20 - A Depot Shunter Driver had something blow into their eye as a train went past at Aylesbury Depot",Non-severe,0.001
SMIS3024845,2020-02-25 00:15:00.000,201912,Ilford LMD (London),Slip trip or fall,Tech assistant STF in 11 NS CE,Non-severe,0.001
SMIS2322393,2020-02-25 10:20:00.000,201912,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",Minor Canton Depot Driver cut middle finger whilst operating the battery isolation switch,Non-severe,0.001
SMIS3024830,2020-02-25 17:52:00.000,201912,DRS Carlisle - Kingmoor,Slip trip or fall,PA - Member of contractor staff sustained a dislocated little finger after slipping whilst loading a screed machine at Carlisle Kingmoor Yard.,Non-severe,0.001
SMIS2322602,2020-02-26 01:42:00.000,201912,Heaton LMD,"Person interacting with animal, object,  vehicle or another person","Cleaner at Heaton Depot reported that he was bending down to pick rubbish off the floor on an LNER unit when a drop down table fell and hit his eye lid, causing a cut. No first aid required. A2 form submitted by Heaton Cleaner.",Non-severe,0.001
SMIS3025033,2020-02-26 03:15:00.000,201912,Westbury Depot,Slip trip or fall,"PA - a Plymouth DU MOS was working, fitting some plates to a joint, when he fell to the ground having a fit/seizure, bumped his head on the ground, Coach Road, Westbury.",Non-severe,0.001
SMIS021321,2020-02-26 10:15:00.000,201912,Southampton Up Goods Loop,Awkward Body Movement,SDM that he has strained his lower back whilst bending to loosen a screw coupling on a wagon in Southampton East Docks,Non-severe,0.001
SMIS021337,2020-02-27 01:00:00.000,201912,Newton Heath LMD (Manchester),Awkward Body Movement,"Fitter reported that he turned to place a fuel gun back in its holder while working on a class 158 uinit when he felt a twinge in his right thigh muscle. The fitter was able to continue his duties and did not feel any further pain until the weekend, when he experienced a sharp pain in his right thigh every time he put weight on to his right leg. A2 form submitted. NRAT",Non-severe,0.001
SMIS4334978,2020-02-27 12:40:00.000,201912,Wimbledon LMD (London),Personal accident form,Staff Accident 27/02/2020 Wimbledon Traincare Depot: MB3 bruised finger,Non-severe,0.001
SMIS2322496,2020-02-27 12:40:00.000,201912,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",Staff 70009 27/02/2020 Wimbledon TCD: Fitter caught finger when changing a driver's sea on a 455 unit. First aid (ice) self administered.,Non-severe,0.001
SMIS2322558,2020-02-28 01:53:00.000,201912,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",Minor Canton depot Employee hand slipped while using spanner,Non-severe,0.001
SMIS3025062,2020-02-29 11:17:00.000,201912,Heaton LMD,Slip trip or fall,"MDD tripped over upturned duck board after climbing off 180, twisted knee and ankle.",Non-severe,0.001
SMIS3025032,2020-03-01 00:00:00.000,201913,Bristol St Philips Marsh LMD,Slip trip or fall,Shunter STF at St Philips Marsh Depot,Severe 7,0.01
SMIS2323025,2020-03-01 01:40:00.000,201913,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person",Door fell on workforce,Non-severe,0.001
SMIS2322529,2020-03-01 02:40:00.000,201913,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",Contractor accident at Etches Park,Non-severe,0.001
SMIS2323029,2020-03-01 08:24:00.000,201913,Three Bridges MDU,"Person interacting with animal, object,  vehicle or another person",Staff acc,Non-severe,0.001
SMIS2322567,2020-03-02 00:00:00.000,201913,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",Driver accident at St Philips Marsh banged head on door frame of HST Power Car,Non-severe,0.001
SMIS4353187,2020-03-02 10:45:00.000,201913,Brighton LMD,Personal accident form,Staff accident Brighton Depot,Non-severe,0.001
SMIS3025738,2020-03-02 10:45:00.000,201913,Brighton LMD,Slip trip or fall,Staff S/T/F,Non-severe,0.001
SMIS3025040,2020-03-02 11:20:00.000,201913,Heaton HST Depot,Slip trip or fall,PA - Works Delivery staff turned and fell whilst walking down the ballast shoulder possibly sprained his ankle at Heaton Depot Washer Road,Specified,0.125
SMIS191376,2020-03-03 04:00:00.000,201913,Barnham MDU,Other event resulting in injury or fatality,PA - Brighton DU MOS whilst alighting from the depot vehicle at Barhham twisted his left ankle.,Non-severe,0.001
SMIS2322592,2020-03-03 09:30:00.000,201913,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",Staff accident at Neville Hill,Non-severe,0.001
SMIS3025141,2020-03-03 14:00:00.000,201913,Shrewsbury MDU,Slip trip or fall,PA. Shrewsbury DU Off Track staff fell into a manhole and sprained an ankle at Coleham Depot Shrewsbury,Non-severe,0.001
SMIS2322690,2020-03-04 00:00:00.000,201913,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",Technician at Laira trapped fingers whilst in battery box door,Non-severe,0.001
SMIS2322646,2020-03-04 00:00:00.000,201913,Reading (Cow Lane) MDU,"Person interacting with animal, object,  vehicle or another person",Cleaner struck by fold-down table,Non-severe,0.001
SMIS2322613,2020-03-04 04:15:00.000,201913,Norwood Junction MDU,"Person interacting with animal, object,  vehicle or another person",PA - Croydon DU MOS was hit on the head by a falling spanner at Norwood Junc and sustained a cut to the head.,Non-severe,0.001
SMIS2322657,2020-03-04 11:00:00.000,201913,Stoke On Trent MDU,"Person interacting with animal, object,  vehicle or another person","11:00 04/03/20, Fitter was removing cotters from the bogie brake work on vehicle 9812, he attempted to hit his chisel which had a guard on and missed the chisel and his hammer hit the bogie frame and bounced back and glanced the tip of his thumb,",Non-severe,0.001
SMIS2322685,2020-03-05 00:00:00.000,201913,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",Contractor sustained hand injury whilst fitting carpet at St Philips Marsh Depot,Non-severe,0.001
SMIS3025177,2020-03-05 08:05:00.000,201913,Birkenhead Central LMD,Slip trip or fall,Driver slipped and fell descending stairs to Resource Area. Driver bruised back.,Non-severe,0.001
SMIS2322655,2020-03-05 10:15:00.000,201913,Haymarket LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person","While carrying out vechicle maintenance instruction, task adked for wires 103, 104 & 105 to be disconnected. Ratched touched battery amp which was love resulting in sparks and burnt fingers. Right hand burns to thumb, index and middle finger. Unit faulted.",Non-severe,0.001
SMIS2322658,2020-03-05 11:00:00.000,201913,Tees Yard,"Person interacting with animal, object,  vehicle or another person",Report received from tees yard that whilst Tees C & W fitter was working on wagon 950246 he placed a steel bar on the wagon to help him position an air tank. the bar slipped and struck him on head resulting in a laceration to his left eyebrow.,Non-severe,0.001
SMIS021342,2020-03-06 06:00:00.000,201913,Allerton LMD,Awkward Body Movement,Depot Driver at Allerton reported that he was operating the handle of the hand points on the departure road when he sustained an injury to his back. A2 form submitted by Allerton Driver.,Non-severe,0.001
SMIS2322875,2020-03-06 14:00:00.000,201913,High Wycombe Station MDU,"Person interacting with animal, object,  vehicle or another person",PA - Maintenance Staff Accident - Operative felt a sharp shooting pain in their leg when lifting tools from the store in the depot to van at High Wycombe.,Non-severe,0.001
SMIS3025315,2020-03-06 19:30:00.000,201913,Haymarket LMD (Edinburgh),Slip trip or fall,"Staff member was carrying out CET duties on unit 170393 and when removing the CET pipe his foot got caught up in the pipe at floor level, At this time he fell backwards onto a plastic bin. Knee badly bruised and forearm cut and grazed.",Non-severe,0.001
SMIS2322702,2020-03-07 16:11:00.000,201913,Soho LMD (Birmingham),"Person interacting with animal, object,  vehicle or another person",Technician suffered broken tooth when hit in the face by a spanner at Soho Depot,Non-severe,0.001
SMIS2322775,2020-03-08 12:00:00.000,201913,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",PA. Cardiff Planning stores controller bruised finger moving shelving at Canton Depot,Non-severe,0.001
SMIS2322673,2020-03-08 13:00:00.000,201913,Wimbledon Train Care Depot,"Person interacting with animal, object,  vehicle or another person",PA - Staff Accident - Inner DU - IP suffered a cut to the left hand while they were exposing cables at the Wimbledon train care depot,Non-severe,0.001
SMIS021338,2020-03-09 15:25:00.000,201913,Allerton LMD,Awkward Body Movement,Depot Driver at Allerton reported that he had sustained an injury to his right wrist when opening the cab door of unit 195102. Repeat injury. A2 form received.,Non-severe,0.001
SMIS2322744,2020-03-10 08:50:00.000,201913,Stoke On Trent MDU,"Person interacting with animal, object,  vehicle or another person",PA - Stafford DU Team Leader suffered minor finger injury due to falling stores cabinet at Stoke depot.,Non-severe,0.001
SMIS2322757,2020-03-10 10:43:00.000,201913,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",Staff accident at Neville Hill,Non-severe,0.001
SMIS2322788,2020-03-11 10:20:00.000,201913,Wigan Nw MDU,"Person interacting with animal, object,  vehicle or another person",Team member has grazed his nose after walking in to a fork lift A Frame / Hook attachment that stands 5ft tall.,Non-severe,0.001
SMIS2322860,2020-03-11 13:45:00.000,201913,Holbeck Jcn & Depot (Leeds),"Person interacting with animal, object,  vehicle or another person",PA – Buckingham Group operative was installing a concrete lintel when they nicked their right index finger at Holbeck Depot. (SCO 45886),Non-severe,0.001
SMIS3025413,2020-03-11 20:30:00.000,201913,Tyseley LMD,Slip trip or fall,Technician twisted his ankle while alighting 172211 at Tyseley Depot,Non-severe,0.001
SMIS3025638,2020-03-12 00:00:00.000,201913,Bournemouth West LMD,Slip trip or fall,Staff 12/03/2020 Bournemouth TCD: Cleaning supervisor sprained their knee when carrying out their duties on a unit. 1 day lost from duty,Non-severe,0.001
SMIS2324023,2020-03-12 08:00:00.000,201913,Lovers Walk TMD,"Person interacting with animal, object,  vehicle or another person",Service engineer injury to eye,Severe 7,0.01
SMIS2322806,2020-03-12 10:00:00.000,201913,Hither Green,"Person interacting with animal, object,  vehicle or another person",PA - London Bridge DU - Short Term contractor sustained a crush injury while moving timbers at Hither Green PAD,Non-severe,0.001
SMIS2322805,2020-03-12 10:38:00.000,201913,Bournemouth Middle Sidings,"Person interacting with animal, object,  vehicle or another person",PA - Staff Accident - Outer DU - IP suffered a cut to the right hand little finger while at the Bournemouth depot,Non-severe,0.001
SMIS021436,2020-03-12 14:10:00.000,201913,Selhurst Depot,Awkward Body Movement,staff,Non-severe,0.001
SMIS2322832,2020-03-13 16:20:00.000,201913,High Wycombe Station MDU,"Person interacting with animal, object,  vehicle or another person",PA - Maintenance Staff Accident - Operative felt a sharp shooting pain in their leg when trying to pull swan necks apart at High Wycombe.,Non-severe,0.001
SMIS3025500,2020-03-15 22:50:00.000,201913,Cambridge Cavendish Rd LMD,Slip trip or fall,Train pres team leader STF in sidings,Specified,0.125
SMIS3025488,2020-03-16 05:02:00.000,201913,Tyseley LMD,Slip trip or fall,Member of staff slipped and fell when dismounting from 172211 at Tyseley Depot,Non-severe,0.001
SMIS3025746,2020-03-16 08:29:00.000,201913,Bletchley LMD,Slip trip or fall,Cleaner tripped over trailing lead whilst cleaning luggage racks on class 350 mods program,Non-severe,0.001
SMIS2324245,2020-03-17 12:20:00.000,201913,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person",Staff injury,Severe 7,0.01
SMIS2322897,2020-03-17 15:30:00.000,201913,St Philips Marsh HST Depot,"Person interacting with animal, object,  vehicle or another person",PA Works Delivery (Everlast) MOS was  closing a door at St Phillips Marsh Depot Bristol behind him and trapped his finger in the door. He was found to have fractured the index finger of the right hand [SCO45900],Non-severe,0.001
SMIS2322904,2020-03-18 08:52:00.000,201913,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",Staff accident at Etches Park,Non-severe,0.001
SMIS2323048,2020-03-18 10:40:00.000,201913,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",Technician cut his hand on uncovered blade in his kit bag,Non-severe,0.001
SMIS2322924,2020-03-19 00:00:00.000,201913,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",Depot Admin at St Philips Marsh trapped her finger in a door frame,Non-severe,0.001
SMIS2324399,2020-03-19 10:45:00.000,201913,Three Bridges MDU,"Person interacting with animal, object,  vehicle or another person",Engineer cut their finger,Non-severe,0.001
SMIS2323071,2020-03-21 14:50:00.000,201913,Grove Park Depot,"Person interacting with animal, object,  vehicle or another person",PA - IP Track - Door swung shut bruising IP hand at Grove Park Depot,Non-severe,0.001
SMIS3025593,2020-03-22 00:20:00.000,201913,Crown Point LMD (Norwich),Slip trip or fall,Yard assistant STF in 11 rd,Non-severe,0.001
SMIS4334871,2020-03-22 09:30:00.000,201913,Bournemouth West LMD,Personal accident form,Staff Accident 22/03/2020 Bournemouth Traincare Depot: MB3 strained back,Non-severe,0.001
SMIS2322943,2020-03-23 20:52:00.000,201913,Bathgate Yard,"Person interacting with animal, object,  vehicle or another person",Fatality - 2H49 (2023 Edinburgh Waverley - Bathgate) struck a person on the Down Bathgate line on the east side of Bathgate Yard.,Shock/Trauma 7,0.01
SMIS2322974,2020-03-23 21:00:00.000,201913,Yoker Depot,"Person interacting with animal, object,  vehicle or another person","Whilst carrying out her vehicle presentation duties on board 318262 (77252), staff member was cleaning toilet when she notices the toilet door was stuck, the door runner was blocked with grit and dirt she then tried to flick the runner clean with her fingers it was then she realised that she had touched a needle. Team leader arranged taxi to take her to hospital. Needle puncture to right index finger.",Non-severe,0.001
SMIS4353184,2020-03-24 00:00:00.000,201913,Selhurst Depot,Personal accident form,"Staff accident Selhurst Depot, 24/03/2020",Non-severe,0.001
SMIS3025624,2020-03-25 00:00:00.000,201913,Exeter Olds View Depot MDU,Slip trip or fall,Fitter at Exeter TMD slipped on unevent surface and sustained minor injuries,Non-severe,0.001
SMIS191399,2020-03-25 00:00:00.000,201913,Plymouth (Laira) Diesel LMD,Other event resulting in injury or fatality,Technician minor injury at Laira Depot,Non-severe,0.001
SMIS3025673,2020-03-25 08:30:00.000,201913,Eastleigh,Slip trip or fall,PA - Contractor Accident - Route Services - IP suffered a sprained right ankle after falling through a metal frame they were walking on at the Eastleigh East yard - SCO455953,Non-severe,0.001
SMIS3025635,2020-03-25 08:33:00.000,201913,Freightliner Eastleigh,Slip trip or fall,TM accident at Eastleigh,Non-severe,0.001
SMIS2323078,2020-03-27 05:40:00.000,201913,Crown Point LMD (Norwich),"Person interacting with animal, object,  vehicle or another person",Contractor ** VMI technician struck back on sign whilst alighting cab,Non-severe,0.001
SMIS3025669,2020-03-27 08:00:00.000,201913,Watford MDU,Slip trip or fall,PA - Works Delivery Team Leader suffered minor head injury due to fall against racking inside van at Watford.,Non-severe,0.001
SMIS2323017,2020-03-27 11:00:00.000,201913,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person","Engineer reports injuring themselves steadying glass, Ramsgate depot",Severe 7,0.01
SMIS4356249,2020-03-27 13:58:00.000,201913,Hornsey LMD,Personal accident form,"Staff accident, Hornsey Depot, 27/03/2020",Non-severe,0.001
SMIS2323023,2020-03-29 08:35:00.000,201913,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",PA. Cardiff Works Delivery staff cut a finger loading a van at Canton Depot,Non-severe,0.001
SMIS2323013,2020-03-29 08:45:00.000,201913,East Croydon MDU,"Person interacting with animal, object,  vehicle or another person",PA- Croydon DU MOS was hit on the head by a door whilst loading the van with tools at East Croydon and sustained bruising to the face.,Non-severe,0.001
