"smis_reference","event_date","period","place","report_title","railway_operating_incident_type","description","owning_org","organisations_involved"
SMIS2620412,2020-02-07 05:15:00.000,201912,Gloucester Yard Jcn,Railway operating incident,Wrong route set for train,Wrong Route - 3G04 (04:37 Bristol Parkway - Cheltenham) was wrongly routed at Gloucester Yard Jnc. Route was taken,Network Rail,"Great Western Railway, Network Rail"
SMIS2620488,2020-02-11 13:50:00.000,201912,Heaton LMD,Railway operating incident,Other: Close call between a Contractor and a train given authority to move,Close Call at Heaton as protection was given for the road at Heaton and train authorised to proceed onto the road,Northern,"Network Rail, Northern"
SMIS2620472,2020-02-11 21:10:00.000,201912,Doncaster Down Decoy,Railway operating incident,Train brakes not released,Intermodal- 4L28 Brake Drag,GB Railfreight,GB Railfreight
SMIS2620690,2020-02-12 01:26:00.000,201912,Cardiff Canton LMD,Railway operating incident,,"Contact made by GBRf staff at Cardiff Celsa, they have delivered 6V81, 18:05 11/02 Rotherham - Cardiff Celsa, in to Celsa and the customer weighbridge ticket shows 5 wagons to be overloaded, weighbridge ticket showing weights between 116.88T & 174.06T.",DB Cargo (UK),"DB Cargo (UK), Transport for Wales Rail"
SMIS2620536,2020-02-14 17:35:00.000,201912,North Pole Depot,Railway operating incident,Wrong route set for train,Wrong Route - 2M51 (16:40 East Croydon & Shepherds Bush) was wrong routed by the signaller at VC813 signal at North Pole. Route not  taken.,Network Rail,"Govia Thameslink Railway, Network Rail"
SMIS2621991,2020-02-15 00:05:00.000,201912,Westbury AHD,Railway operating incident,,"7C61 incorrect wagons attached to service Westbury Down Yard",Freightliner Group,"Freightliner Group, Network Rail"
SMIS2621571,2020-02-15 22:58:00.000,201912,Tyseley LMD,Railway operating incident,Other train movement without authority: 5H78 passed the North End Stop and Await instructions board protecting Tyseley Carriage sidings by incorrectly believing he had received the authority to move by hand signal during darkness.,Other: Serious Operating Incident,West Midlands Trains,West Midlands Trains
SMIS2621203,2020-02-17 01:10:00.000,201912,Newton Heath DMU Depot,Railway operating incident,Other: passenger left on train,"5J57 00:26 Man Vic - Newton Heath depot reports a passenger was left on the train after unit was disposed",Northern,"Network Rail, Northern"
SMIS2620697,2020-02-18 00:01:00.000,201912,Wembley Depot,Railway operating incident,Load leaking or incorrectly discharged,first wagon behind engine 66002 off stabled 6Z60 (07:15 Cliffe to Wembley) is leaking product into the four foot and over the railhead.,DB Cargo (UK),"Chiltern Railways, DB Cargo (UK)"
SMIS2620597,2020-02-18 13:09:00.000,201912,Trafford Park,Railway operating incident,Load not properly secured to vehicle,Intermodal- 4O23 Arrived with a container on only 3 spigots,GB Railfreight,"DB Cargo (UK), GB Railfreight"
SMIS2620622,2020-02-19 07:09:00.000,201912,Parkeston Quay TIP Sidings,Railway operating incident,Other: Conflicting Movements,Carless- Potential late start on 6P41 due to issues at Parkeston,GB Railfreight,"Freightliner Group, GB Railfreight"
SMIS2620722,2020-02-20 19:09:00.000,201912,Quakers Yard,Railway operating incident,Train stopped short of station platform,"2F76/150242/ Train stopped short at Quakers Yard",Transport for Wales Rail,"Network Rail, Transport for Wales Rail"
SMIS2620682,2020-02-24 13:53:00.000,201912,Slade Green LMD,Railway operating incident,Train division,"5L42 train break away, Slade Green shunter",Southeastern,Southeastern
SMIS2620716,2020-02-25 13:00:00.000,201912,Hambleton MDU,Railway operating incident,Failed to follow safe system of work,OCC - NWR member of staff reported several pieces of machinery moving around Hambleton Compound without exclusion zones or Banksmen - SCO-45678,Network Rail,"Network Rail, VolkerRail"
SMIS2620736,2020-02-25 22:18:00.000,201912,Skipton MDU,Railway operating incident,Train door incident,"5S58 333014 21:31 Skipton - Skipton Train Servicing reports door E open in traffic at Skipton Train Service point",Northern,"Network Rail, Northern"
SMIS2621505,2020-02-26 13:30:00.000,201912,Wembley Depot,Railway operating incident,Train rolled back or forwards,"3419/20 - Roll Back by Unit 168321 under train prep at Wembley Depot",Chiltern Railways,Chiltern Railways
SMIS2620758,2020-02-26 22:49:00.000,201912,Freightliner Felixstowe,Railway operating incident,Train brakes not released,HBLO reported.,DB Cargo (UK),"DB Cargo (UK), Freightliner Group"
SMIS2621984,2020-02-27 11:14:00.000,201912,Dagenham Ford Yard,Railway operating incident,,"6L28 wagon still attached during shunting Dagenham",Freightliner Group,"Freightliner Group, Network Rail"
SMIS2620809,2020-03-02 23:34:00.000,201913,Heaton LMD,Railway operating incident,Other: collision with a derailer,"144012 was being shunted out of 5 road and struck the derailer but did not derail.",Northern,"Network Rail, Northern"
SMIS2621021,2020-03-03 01:00:00.000,201913,Fratton Tcd (LMD),Railway operating incident,Wrong route set for train,Wrong route set & taken Depot 03/03/2020 Fratton: 10 car 444 formation routed into an already occupied siding.,South Western Railway,South Western Railway
SMIS2620828,2020-03-03 11:00:00.000,201913,Aldersbrook Sidings,Railway operating incident,,"OCC - (CROSSRAIL tbc) - CAT 3 - P2R East - Isolation irregularity at Aldersbrook Sidings, Ilford. Potential to cause serious injury/fatality due to an unidentified electrical hazard being present on the suggested limits/switch BA/04.",Network Rail,"Network Rail, TES2000 Ltd"
SMIS2620948,2020-03-04 00:00:00.000,201913,Reading (Cow Lane) MDU,Railway operating incident,,"3R03 departed Reading Traincare Depot with Not to be Moved board still attached.",Great Western Railway,Great Western Railway
SMIS2620863,2020-03-04 09:47:00.000,201913,Polmadie LMD (Glasgow),Railway operating incident,Train division,"Train Division -  Train Headcode 5D73 - Vehicle No's 92028 and 15312 Polmadie Depot, Glasgow",Caledonian Sleeper Limited,"Network Rail, Caledonian Sleeper Limited"
SMIS2620975,2020-03-04 15:00:00.000,201913,Stoke On Trent MDU,Railway operating incident,Load not properly secured to vehicle,"Report received from Stoke works that Whilst removing wheelsets from the front of the wheelshop, the fitter driving the JCB turned the steering  wheel of the JCB with his right hand and nudge the release lever to the wheel grab with his elbow",DB Cargo (UK),DB Cargo (UK)
SMIS2621895,2020-03-04 21:01:00.000,201913,Whatley Yard,Railway operating incident,Exiting possession,"7F51 Train became divided Whatley",Freightliner Group,"DB Cargo (UK), Freightliner Group, Network Rail"
SMIS2620932,2020-03-04 21:35:00.000,201913,Willesden South West Sidings SF,Railway operating incident,Wrong route set for train,Wrong route - 0M59 (2135 Willesden - Leicester) routed towards Acton Wells (via Willesden South West) due to a Signaller error. Route taken by Driver.,Network Rail,"Network Rail, Rail Operations Group"
SMIS2620955,2020-03-06 11:35:00.000,201913,Hull Yard,Railway operating incident,Train brakes not released,"6D94 from Rotherham arrived with a partially handbrake applied on wagon 966028",DB Cargo (UK),DB Cargo (UK)
SMIS2620923,2020-03-07 21:15:00.000,201913,Cambridge Coldham Lane Depot,Railway operating incident,Other: Passenger on ECS,PASSENGER ON ECS - Cambridge Senior Conductor reported passenger overcarried onto Coldhams Lane on board 5K58 21:10 Cambridge - Coldhams Lane ECS.,CrossCountry,"CrossCountry, Network Rail"
SMIS2620953,2020-03-09 08:10:00.000,201913,Allerton LMD,Railway operating incident,Other: Collison,Allerton depot supervisors reports a collision in the wheel lathe between the mule and the wheel lathe barriers,Northern,Northern
SMIS35513,2020-03-09 08:28:00.000,201913,Horrocksford Castle Cement Siding; Katalco,Train derailment,Train runaway,Derailment / OCC - GBRf wagon ran away approximately 1352 yards before derailing on the trap points at Horrocksford Junction.,Network Rail,"GB Railfreight, Network Rail"
SMIS35513,2020-03-09 08:28:00.000,201913,Horrocksford Castle Cement Siding; Katalco,Train derailment,Train running onto level crossing without authority,Derailment / OCC - GBRf wagon ran away approximately 1352 yards before derailing on the trap points at Horrocksford Junction.,Network Rail,"GB Railfreight, Network Rail"
SMIS2621119,2020-03-09 22:46:00.000,201913,Chaddesden Sidings,Railway operating incident,Train authorised to proceed with points incorrectly set,Points ran through-By unknown train at Chaddesden sidings.,Network Rail,Network Rail
SMIS2621892,2020-03-11 22:15:00.000,201913,Trafford Park,Railway operating incident,,"4K06 hand brake left on Trafford Park",Freightliner Group,"DB Cargo (UK), Freightliner Group, Network Rail"
SMIS2621023,2020-03-12 21:27:00.000,201913,London Gateway Depot,Railway operating incident,Other: Other: Not Properlly Removed,Intermodal - Lifted wagon at London Gateway,GB Railfreight,GB Railfreight
SMIS2621033,2020-03-13 11:50:00.000,201913,Wembley Yard,Railway operating incident,Wrong route set for train,Wrong route - 4L97 (0617 Trafford – Felixstowe) incorrectly signalled on to an already occupied line at Wembley Yard.,Network Rail,"Freightliner Group, Network Rail"
SMIS2621055,2020-03-13 21:35:00.000,201913,Tyseley LMD,Railway operating incident,Other: Driver of 5H78 passed the North End Stop and Await instructions board protecting Tyseley Carriage sidings,Other Operational Incident : Tyseley Depot,West Midlands Trains,West Midlands Trains
SMIS2621058,2020-03-14 00:59:00.000,201913,Ramsgate Train Maintenance Depot,Railway operating incident,Train rolled back or forwards,Rollback Ramsgate depot number 1 sidings,Southeastern,Southeastern
SMIS258207,2020-03-16 07:28:00.000,201913,Strawberry Hill LMD (London),Railway infrastructure fault,,RIF  & OCC - Barriers at  barriers at CM&EE crossing going into Strawberry Hill Depot were left in the air after they were struck by an RRV with the strike not reported through the correct channels - pending function,Network Rail,"Network Rail, South Western Railway"
SMIS2621097,2020-03-16 12:16:00.000,201913,Neville Hill LMD (Ns) Northern Rail,Railway operating incident,Other: Derailer fault,Derailer fault at Neville Hill - Derailer not working.,Northern,"Network Rail, Northern"
SMIS2621085,2020-03-17 01:32:00.000,201913,Lovers Walk Depot (Brighton),Railway operating incident,,OCC - 5K77 (00:15 West Worthing – Lovers Walk Depot) stopped at possession limit board incorrectly placed at Lovers Walk.,Network Rail,"Network Rail, Other, CrossCountry"
SMIS2621881,2020-03-17 04:20:00.000,201913,Colnbrook depot,Railway operating incident,Exiting possession,"7C81 near miss with track workers Colnbrook",Freightliner Group,"Freightliner Group, Network Rail"
SMIS2621185,2020-03-21 08:40:00.000,201913,Toton TMD,Railway operating incident,,Whilst unloading swapbody 119 from 4S49 (21:58 Daventry to Grangemouth) it has slipped off one of the loader legs.  The container did not fall and has been safely placed on the ground.,DB Cargo (UK),DB Cargo (UK)
SMIS2621188,2020-03-23 12:25:00.000,201913,Norwich Jubilee sidings,Railway operating incident,,"OCC (Ipswich DU) - Norwich P/way gang occupied track circuit ""2413"" with a 'Frog Grinder' which had gone beyond CO572 signal at Norwich Low Level Sidings, which was outside the possession of limits.",Network Rail,Network Rail
SMIS2621222,2020-03-24 00:30:00.000,201913,Dollands Moor,Railway operating incident,Train brakes not released,"Advised by the supervisor at Dollands Moor that after attaching a wagon to this train in preparation for its path (4450) through the Channel Tunnel the driver noticed an issue. He stopped the train in the yard, stating that it felt like one of the wagons was being dragged.",DB Cargo (UK),DB Cargo (UK)
SMIS2621238,2020-03-25 06:00:00.000,201913,Toton TMD,Railway operating incident,Other: Points in Toton North Yard have been run through,Points  in Toton North Yard have been run through at some point between 1400 24/03 and 0600 25/03.,DB Cargo (UK),DB Cargo (UK)
SMIS2621373,2020-03-25 15:25:00.000,201913,Crewe Sorting Siding North,Railway operating incident,Other: Token/keys handed back to the signaller with a train in section,OCC: Train was still in section when the shunter handed back the token (keys) to the signaller at Crewe SS North,Network Rail,"Freightliner Group, Network Rail, Network Rail, Rail Operations Group"
SMIS2621265,2020-03-27 04:05:00.000,201913,Newton Heath LMD (Manchester),Railway operating incident,Other: collision with a tressel board,"195126  reports a collision between the unit and a tressel which was over the 'pit' on 5 road Manchester end",Northern,"Network Rail, Northern"
SMIS2621428,2020-03-27 10:30:00.000,201913,Slade Green LMD,Railway operating incident,,"Crab striking wheel stops, Slade Green Depot",Southeastern,Southeastern
SMIS2621290,2020-03-30 14:31:00.000,201913,Newton Heath LMD (Manchester),Railway operating incident,Other: Protection lifeted whilst a train was under work,Team Leader at Newton Heath advises of an operating incident at Newton Heath. Depot protection was lifted whilst a unit was still underwork.,Northern,"Network Rail, Northern"
SMIS2621871,2020-03-30 22:49:00.000,201913,Tunstead Sidings,Railway operating incident,Entering possession,"6M80 collision with a loading chute Tunstead",Freightliner Group,"Freightliner Group, Network Rail"
SMIS2621869,2020-03-31 06:40:00.000,201913,Tilbury Docks,Railway operating incident,,"4V47 Container door open ex Tilbury",Freightliner Group,"Freightliner Group, Network Rail"
SMIS2621624,2020-03-31 23:18:00.000,201913,York Yard North,Railway operating incident,,"6V49 was noticed passing York ROC conveying suspected dangerous goods tanks, and no consist had been entered into TOPS by the Freight Operating Company.",DB Cargo (UK),"DB Cargo (UK), Network Rail"
SMIS2621864,2020-04-01 11:30:00.000,202001,Crewe Gresty,Railway operating incident,,Inadequate shunting of propelling movement NM-77,Freightliner Group,"DB Cargo (UK), Freightliner Group, Network Rail"
SMIS2621358,2020-04-06 18:08:00.000,202001,Gloucester Yard Jcn,Railway operating incident,Wrong route set for train,"Wrong Route - 1E63 (1527 Plymouth - Leeds) wrong routed towards Gloucester station from G237 signal, Gloucester Yard Junction. Route taken",Network Rail,"CrossCountry, Network Rail"
SMIS2621387,2020-04-08 12:30:00.000,202001,Millerhill,Railway operating incident,Train wrongly authorised or signalled into a possession or line blockage,"OCC - 0Z70 (1109 Oxwellmains – Millerhill Yard) given permission to pass EM14 signal into Millerhill Yard with no specific destination given by the signaller, driver took the locomotive onto F7 siding which was under possession.",Network Rail,"Colas Rail, Colas Rail, Network Rail, DB Cargo (UK), Network Rail"
SMIS2621423,2020-04-12 11:56:00.000,202001,Bletchley LMD,Railway operating incident,Train brakes not released,Brake Drag with 6G66 arriving Bescot,GB Railfreight,"GB Railfreight, Network Rail"
SMIS2621429,2020-04-14 14:30:00.000,202001,Scunthorpe Goods Yard,Railway operating incident,Uneven load distribution in wagon,Scunthorpe Operations Supervisor reports BEA 950990 has been returned to the slab yard at Scunthorpe due to a badly loaded slab.,DB Cargo (UK),DB Cargo (UK)
SMIS2621485,2020-04-17 07:50:00.000,202001,Immingham,Railway operating incident,Load not properly secured to vehicle,"6H62 Immingham to Drax that the bottom doors compartment 1, wagon number 7006981797, opened during loading resulting in spillage of product but no derailment occured",DB Cargo (UK),"DB Cargo (UK), GB Railfreight, Other, CrossCountry"
SMIS2621858,2020-04-21 10:30:00.000,202001,Merehead Sidings,Railway operating incident,Train rolled back or forwards,"59104 locomotive moved without permission Merehead - RPT-246",Freightliner Group,"Freightliner Group, Network Rail"
SMIS2621857,2020-04-21 14:26:00.000,202001,Whatley Yard,Railway operating incident,,"6A15 Overweight for Route and Traction Whatley Quarry",Freightliner Group,"DB Cargo (UK), Freightliner Group, Network Rail"
SMIS2621496,2020-04-21 15:09:00.000,202001,Eastcroft LMD (Nottingham),Railway operating incident,Other train movement without authority: Accelerating whilst fuel line still attached,Train movement whilst attached to fueling pipe at Eastcroft,East Midlands Railway,"East Midlands Railway, East Midlands Railway"
SMIS2621550,2020-04-21 15:59:00.000,202001,Aylesbury South siding DOWN,Railway operating incident,Other: Overhang on sidings,"5591/20 - Overhang of 5S00 by 3 vehicles at Aylesbury Down Sidings",Chiltern Railways,"Chiltern Railways, Network Rail"
SMIS2621511,2020-04-22 15:00:00.000,202001,Ore Carriage Sdgs/EMU Depot,Railway operating incident,Wrong route set for train,Wrong Route -  5F45 (15:00 Ore Sidings to Ore) was offered the wrong route from EDL22 Signal Ore Sidings - Not taken,Network Rail,"Govia Thameslink Railway, Network Rail"
SMIS2621586,2020-04-28 21:04:00.000,202001,Hinksey Yard,Railway operating incident,Train division,V46 19:00 Bescot - Westbury (Colas Rail Infrastructure service) has become divided upon attempting to depart Hinksey after stopping at the yard to have traffic attached.,DB Cargo (UK),DB Cargo (UK)
SMIS2621774,2020-05-01 01:00:00.000,202001,Old Oak Common LMD (London),Railway operating incident,Other: Driver changing hand points to access the correct road,The Driver of 5Y42 00:11 Paddington - Siemens Old Oak Common Depot pulled the points for the incorrect road at Siemens Old Oak Common Depot,MTR Elizabeth line,"Great Western Railway, MTR Elizabeth line, Network Rail"
SMIS2621609,2020-05-01 11:30:00.000,202001,Eastleigh,Railway operating incident,,OCC - Route Services - Rail moving along a conveyor belt at the Eastleigh long weld rail depot came off the conveyor belt - SCO46202,Network Rail,"DB Cargo (UK), Network Rail"
SMIS2621644,2020-05-05 15:28:00.000,202002,Central Rivers Depot (Barton under Needwood),Railway operating incident,Other: Passenger on ECS,PASSENGER ON ECS - Birmingham Driver working 5D54 14:52 Birmingham New Street - Central Rivers reported passenger on board on arrival on the depot.,CrossCountry,"CrossCountry, Avanti West Coast"
SMIS2621841,2020-05-05 16:15:00.000,202002,Freightliner Ipswich,Railway operating incident,Exiting possession,"4L93 wrongly routed Ipswich RPT-268",Freightliner Group,Freightliner Group
SMIS365626,2020-05-05 16:45:00.000,202002,Bournemouth West LMD,Train Fault,Train division,"Train Division 05/05/2020 Bournemouth TCD: Coach being hauled by the Class 73 during a shunt move, broke free.",South Western Railway,South Western Railway
SMIS365626,2020-05-05 16:45:00.000,202002,Bournemouth West LMD,Train Fault,Train rolled back or forwards,"Train Division 05/05/2020 Bournemouth TCD: Coach being hauled by the Class 73 during a shunt move, broke free.",South Western Railway,South Western Railway
SMIS2621698,2020-05-06 18:00:00.000,202002,Immingham,Railway operating incident,Other: TOPS clerk not picking up on the reduced weight of train as only 8 wagons loaded not 24.,Advised by TOPS of a TOPS irregulartity regarding 6H79 1845 Imminghm H.I.T. - Drax P.S. the full 24 wagon train had been released to TOPS with each wagon loaded with 23 tonnes.,DB Cargo (UK),"DB Cargo (UK), GB Railfreight"
SMIS2621696,2020-05-07 19:00:00.000,202002,Hoo Junction,Railway operating incident,Item within load not secured,Complaint received from Network Rail via the National Loading Standards Inspector regarding the ticketing of wagons.,DB Cargo (UK),"DB Cargo (UK), Network Rail"
SMIS291347,2020-05-13 15:32:00.000,202002,Ilford LMD (London),Signal passed at danger,Other train movement without authority: Running over two sets of points,The Train Driver of 5W32 16:05 Ilford EMUD - Liverpoole Street passsed a signal at danger and ran over two set of points,MTR Elizabeth line,"Greater Anglia, MTR Elizabeth line"
SMIS2623522,2020-05-14 11:25:00.000,202002,Guide Bridge MDU,Railway operating incident,Other: Driver and PIC not clear on route taken within sidings,OCC:  Tamper travelled down the road where the PIC was shunting at Guide Bridge Brookside Sidings,Network Rail,"Freightliner Group, Network Rail"
SMIS2621802,2020-05-17 09:10:00.000,202002,Gatwick Sidings,Railway operating incident,Wrong route set for train,Wrong Route - 5J09 (09:10 Gatwick - Gatwick Sidings) 12 car was signalled into occupied siding at Gatwick.,Network Rail,"Govia Thameslink Railway, Network Rail"
SMIS2621814,2020-05-17 21:14:00.000,202002,Shrub Hill LMD (Worcester),Railway operating incident,Other: Driver drove onto the fuel road and passed the Stop & Await Instructions board allegedly without authority,Other Serious Operational Incident: Worcester LMD,West Midlands Trains,West Midlands Trains
SMIS2621851,2020-05-19 08:07:00.000,202002,Immingham,Railway operating incident,Train door incident,"6H62 (08:15 Immingham Biomass to Drax) has had a product spillage whilst loading due to an open door.  North Lincolnshire SDM Sarah Watford investigating.",DB Cargo (UK),"DB Cargo (UK), GB Railfreight"
SMIS2621927,2020-05-19 21:09:00.000,202002,Ipswich MDU,Railway operating incident,Train rolled back or forwards,Unintentional train movement,Greater Anglia,Greater Anglia
SMIS2621906,2020-05-21 22:52:00.000,202002,Oxford Down Carriage Sidings,Railway operating incident,Wrong route set for train,Wrong Route - 5P47 (2248 Oxford to Oxford) was routed into the down Oxford Carriage Sdg No2 train did not fit. Route taken,Network Rail,"Great Western Railway, Network Rail"
SMIS2622168,2020-05-27 10:28:00.000,202002,Hayes & Harlington Tarmac Sidings,Railway operating incident,Wrong route set for train,ARS Wrong Route - 5Z43 (0948 Old Oak Depot Crossrail - Hayes & Harlington) was routed from SN283 signalby ARS into Platform 3 at Hayes and Harlington vice Bay Platform 5. Not taken,Network Rail,"MTR Elizabeth line, Network Rail"
SMIS2622080,2020-05-28 03:36:00.000,202002,Salisbury LMD,Railway operating incident,Scotches not removed,Operating Incident 28/05/2020 Salisbury: Attempt to move unit with wheel scotch still in place,South Western Railway,South Western Railway
SMIS2622111,2020-05-30 01:20:00.000,202002,Eastleigh,Railway operating incident,Other: Passenger overcarried,"PASSENGER OVERCARRIED - Bournemouth Driver working 5V94 00:01 Reading - Eastleigh ECS reported intoxicated homeless male passenger overcarried to Eastleigh whilst hiding in the toilet of vehicle 60330, 220030.",CrossCountry,"CrossCountry, DB Cargo (UK), Network Rail"
SMIS2622141,2020-06-02 09:20:00.000,202003,Scunthorpe Goods Yard,Railway operating incident,Other: Points run Through,"6D31 07:46 Scunthorpe - Lackeby is believed to have run through a set of american switch stand points whilst departing from Scunthorpe Trent Low Yard.",DB Cargo (UK),DB Cargo (UK)
SMIS2622151,2020-06-03 03:50:00.000,202003,Victoria Grosvenor Rd LMD (Ldn),Railway operating incident,Train authorised to proceed with points incorrectly set,OCC  DU Croydon - VS721 points run through at Grosvenor Sidings,Network Rail,Network Rail
SMIS2622165,2020-06-04 12:35:00.000,202003,Trent Yard GF,Railway operating incident,Wrong route set for train,ARS Wrong Route - 6E01 (10:40 Bescot Downside- Boston Sleaford Sidings) was wrong routed by the system at TD 4519 - TC 4529 Trent East Junction.,Network Rail,"DB Cargo (UK), Network Rail"
SMIS2622187,2020-06-05 19:10:00.000,202003,Wembley Yard,Railway operating incident,Wrong route set for train,"Wrong route - 4L18 (Trafford Park - Felixstowe) at WY115 signal, Wembley, due to a Signaller error. Route taken by driver.",Network Rail,"GB Railfreight, Network Rail, Avanti West Coast"
SMIS2622278,2020-06-06 07:30:00.000,202003,Merehead Sidings,Railway operating incident,Exiting possession,"7C81 Dragging brakes Merehead",Freightliner Group,"Freightliner Group, Network Rail"
SMIS2622251,2020-06-07 05:30:00.000,202003,"Mossend Yard, Tcd, Euro-P, Ts5, Nch & Pd Sterlings",Railway operating incident,Train brakes not released,Ops Incident: 4Z48 (14:10 Mossend - Daventry) Straight air brake found to be applied trailing loco on arrival at Daventry.,Direct Rail Services,"DB Cargo (UK), Direct Rail Services, Other, CrossCountry"
SMIS2622301,2020-06-12 11:30:00.000,202003,Scunthorpe Goods Yard,Railway operating incident,Uneven load distribution in wagon,Wagons 910470 and 910522 with the loads not cantered these wagons have been sent back to the steel works to have them adjusted.,DB Cargo (UK),"DB Cargo (UK), Other, CrossCountry"
SMIS2622301,2020-06-12 11:30:00.000,202003,Scunthorpe Goods Yard,Railway operating incident,Other: Other: Poor loading,Wagons 910470 and 910522 with the loads not cantered these wagons have been sent back to the steel works to have them adjusted.,DB Cargo (UK),"DB Cargo (UK), Other, CrossCountry"
SMIS2622744,2020-06-15 00:00:00.000,202003,Freightliner Manchester,Railway operating incident,Entering worksite,Lifted wagon RLS92614 Manchester Trafford Park OCC192,Freightliner Group,Freightliner Group
SMIS2622745,2020-06-15 00:00:00.000,202003,Freightliner Manchester,Railway operating incident,Entering worksite,TIPH93401 Lifted wagon OCC191,Freightliner Group,Freightliner Group
SMIS2622334,2020-06-16 04:43:00.000,202003,Alexandra Dock Jcn Sidings,Railway operating incident,Worksite marker board not removed,OCC. Worksite marker boards not removed at Alexandra Dock Jcn,Network Rail,Network Rail
SMIS2622403,2020-06-22 13:50:00.000,202003,Three Bridges Maintenance Depot,Railway operating incident,,OCC - (Brighton DU) NWR Staff accessed Three Bridges Depot during a shunt move without permission,Network Rail,"Govia Thameslink Railway, Network Rail"
SMIS2622421,2020-06-24 00:07:00.000,202003,Hull Botanic Gardens Diesel Depot,Railway operating incident,Other: fuel pipe and bulker still attached,Fuel pipe left attached to unit from Hull Botanic Gardens,Northern,"Network Rail, Northern"
SMIS2622458,2020-06-28 07:58:00.000,202004,Temple Mills Depot Chord,Railway operating incident,Wrong route set for train,Wrong Route - 5M07 (07:58 Orient Way - Meridian Water) was offered a wrong route by the signaller at Temple Mills Orient Way Carriage Sidings. Route not taken.,Network Rail,"Network Rail, Other, CrossCountry"
SMIS2622737,2020-06-30 00:00:00.000,202004,Freightliner Manchester,Railway operating incident,Entering worksite,"4S83 Lifted wagon Manchester Trafford Park OCC198",Freightliner Group,Freightliner Group
SMIS2622556,2020-07-02 10:00:00.000,202004,Mossend,Railway operating incident,Other: Other: container not seated correctly on a spigot in the consist,Park Royal shunter reported that he had stumbled on the ballast at Park Royal and thought nothing of it.,DB Cargo (UK),DB Cargo (UK)
SMIS2622559,2020-07-02 20:21:00.000,202004,Mossend,Railway operating incident,Other: Tops Error,Belated report from TOPS that 4M30 02/07 Grangemouth - Daventry attached 7 FKA wagons at Mossend that were subsequently never consisted in TOPS for travel to Daventry.,DB Cargo (UK),DB Cargo (UK)
SMIS2622722,2020-07-03 00:00:00.000,202004,Cambridge Adj Mill Rd MDU,Railway operating incident,Train speeding,Speeding incident,Greater Anglia,Greater Anglia
SMIS2622617,2020-07-09 00:31:00.000,202004,Heaton LMD,Railway operating incident,Other: wheelset moved to unit,Heaton depot report and operating incident whilst moving a wheelset for 156488 that had been delivered.,Northern,Northern
SMIS2622637,2020-07-09 10:53:00.000,202004,Newton Heath LMD (Manchester),Railway operating incident,Other: lifting incident,Lifting jack accident occured at Newton Heath during a planned  wheelset change,Northern,"Network Rail, Northern"
SMIS2622652,2020-07-10 01:01:00.000,202004,Neville Hill Depot West console,Railway operating incident,Train authorised to proceed with points incorrectly set,Damage-PP4 power points run through by 5J32 (2:319 Leeds–Neville Hill Depot) at Neville Hill.,Network Rail,"Network Rail, Northern, East Midlands Railway"
SMIS2622639,2020-07-10 03:00:00.000,202004,Wimbledon LMD (London),Railway operating incident,Other train movement without authority: Unit moved with NTMB attached,NTMB Incident 10/07/2020 Wimbledon TCD: Train moved with Not to be moved board attached.,South Western Railway,South Western Railway
SMIS2622711,2020-07-11 05:30:00.000,202004,Aylesbury LMD,Railway operating incident,Entering worksite,"7950/20 - A unit was moved whilst still in the process of a vac down cycle causing damage to equipment at Aylesbury Depot",Chiltern Railways,Chiltern Railways
SMIS2622669,2020-07-11 23:45:00.000,202004,Central Rivers Depot (Barton under Needwood),Railway operating incident,Other: Passenger overcarried,PASSENGER OVERCARRIED - Intoxicated passenger overcarried onto Central Rivers depot on board 5Z81 22:25 Birmingham New Street - Cetral Rivers.,CrossCountry,"CrossCountry, Network Rail"
SMIS2622726,2020-07-14 15:15:00.000,202004,Clayhills LMD (Aberdeen),Railway operating incident,Other: Contractor left on train,Contract cleaner for LNER was left on a train that terminated on Clayhills depot.,London North Eastern Railway,"London North Eastern Railway, Other, CrossCountry"
SMIS2622717,2020-07-15 09:06:00.000,202004,Gloucester Yard Jcn,Railway operating incident,Wrong route set for train,Wrong Route - 1G05 (07:27 Paddington - Cheltenham) was wrongly routed at G237 signal at Gloucester Yard Jnc. Route not taken,Network Rail,"Great Western Railway, Network Rail"
SMIS2622752,2020-07-15 20:15:00.000,202004,Mountsorrel Yard,Railway operating incident,Other: Other: incorrectly consisted and also conveying a loaded wagon in cripple O status.,TOPS that 6C33 2017 Mountsorrel to Radlett ran incorrectly consisted and also conveying a loaded wagon in cripple O status.,DB Cargo (UK),DB Cargo (UK)
SMIS2622814,2020-07-16 22:20:00.000,202004,Eastcroft LMD (Nottingham),Railway operating incident,Train speeding,Driver exceeding permitted speed on depot,East Midlands Railway,"East Midlands Railway, East Midlands Railway"
SMIS2622819,2020-07-18 02:00:00.000,202004,Scunthorpe Goods Yard,Railway operating incident,Load not properly secured to vehicle,Scunthorpe shunter reports that BEA 951126 has been released from Scunthorpe with the load positioned to one side of the wagon. Wagon sent back to the steelworks for load to be re-positioned.,DB Cargo (UK),"DB Cargo (UK), Other, CrossCountry"
SMIS2622786,2020-07-18 23:39:00.000,202004,Newton Heath LMD (Manchester),Railway operating incident,Other: Passenger overcarried to sidings,Passenger overcarried from Man Pic - Newton Heath,Northern,"Network Rail, Northern"
SMIS2622756,2020-07-19 08:55:00.000,202004,Willesden Depot,Railway operating incident,,OCC - Pway staff caused track circuit blip when moving rails at Willesden depot.,Network Rail,Network Rail
