"smis_reference","report_url","event_date","period","place","sub_event","description","narrative","surface_type","surface_material","impeded_by","organisations_involved","injured_workforce_role","injured_workforce_activity","summary_cause","detailed_cause","total_accidental_fwi_2013","injuries_summary_2013"
SMIS3015921,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/c4b161de-b971-4b83-abf8-c97026f0469d#!/report,2019-01-18 10:00:00.000,201811,Doncaster,slip trip or fall,PA - A member of IP Track staff fell and hit their right elbow on the rear of a vehicle at Doncaster Depot. (SCO 40827),"At 10:00 a member of staff was walking in the access point at Bridge 210 At Little Bytham, Doncaster Depot and tripped on uneven ground and fell into the rear of a vehicle. There was a dent on the rear of the vehicle door and the member of staff had hurt their right elbow. Member of staff contacting BT Fleet and did not require any first aid.",,,,Network Rail,Infrastructure worker,,Other,Cause not established,0.001,Workforce (on-duty): Non-severe
SMIS3015932,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/db20b93c-df0d-4bbb-900e-3a0c50904b4d#!/report,2019-01-19 07:30:00.000,201811,Swindon,slip trip or fall,PA  Babcock Rail MOS tripped and injured his ankle whilst fine lining sleepers at Swindon East MLN1 76m 1137y [SCO40834] IP-Track,"A Babcock Rail MOS tripped and injured his ankle whilst fine lining sleepers at Swindon East MLN1 76m 1137y. The IP managed to get himself snagged into the string line, tried to hop out and fell. The IP indicated that this was an old injury and had done this before on two prior occasions. Immediate cause - The IP turned and tripped over the string-line. He did not see this and it caused the IP to stumble, and injure the ankle. Underlying cause - The IP went to get a tool to help another person with an activity and, in the process, tripped over the string-line. Either he did not notice this despite being alerted to it’s location beforehand, leading to an underlying cause of lack of care and attention by the individual injured, or he was not alerted by the person using the string-line, in which case the underlying cause could be attributed to staff on site not considering the welfare of others working in the same area. It was perhaps the case that it was assumed all persons were aware of the underfoot and low-level hazards without briefing those in the area on the specifics. Remedial actions - Labour suppliers briefed their representatives on the hazards associated with working environment and controls in place to minimise risk to health and safety.  Controls include clear safety communications, which are two way.  Not confirmed in this case but individuals required to report existing medical conditions to their employer so that their, and others, welfare can be better managed and risk of injury minimised. Was the action deliberate: No. Informed about procedures: Yes. Procedures clear & workable: Yes. Task brief. Outcome: Slip/Lapse No further investigation required",Level,Ballast,,"Babcock Rail, Infra Safety Services Labour Ltd, Network Rail",Infrastructure worker,Duties to maintain track or infrastructure,Error or violation,Failing to see or notice hazard,0.01,Workforce (on-duty): Severe 7
SMIS3015997,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/9239518c-4d88-4faa-ae23-c9b049c6907f#!/report,2019-01-21 13:30:00.000,201811,Gerrard's Cross,slip trip or fall,PA - Birmingham DU Staff Accident - Whilst walking down a stairs a kick board gave way and technicain slipped and jarred their back at Gerrard's Cross.SCO 42493.,"Birmingham DU Staff Accident Initial report:- At 1330 a member of staff was walking down a stairs about 150 meters from the Gerrard's Cross station; one of the kick boards gave way and the individual slipped and jarred his back in the process.  Confirmed as no lost time.  Subsequently on 21/5/19 the following additional information was received regarding this incident:- Individual fell whilst coming down from HW61 at Gerrards Cross 7m817y. A Batch of 4x locations up on a bank, To gain access to this bank of locations you have to walk up steps, once the worker came down the steps (whilst holding hand rail) the steps gave way. Individual fell down and sustained a back injury due to this. Individual was taken accross the line to get to a place of safety by fellow colleauges with correct PPE. Individual was in a lot of discomfort and went to his Doctor's Surgery without completing his shift. Individual signed him off of work due to the back injury. Works were stood down. Fault number 851507.  Confirmation received that individual returned to work on 25/1/19. Immediate cause: Individual tripped on a step due to rotten wooden kick board. Underlying cause: Rotten wooden kick board. Remedial actions: Issue has been escalated to management to identify ownership of the steps.",Stepped,,,Network Rail,Signalling  technician,Other duties,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3015961,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/7f800850-3014-4b63-a74c-b6c94f88b51a#!/report,2019-01-21 14:00:00.000,201811,Barnetby,slip trip or fall,PA-DU Sheffield Technician twisted left ankle at Barnetby.,"At 14:00 a DU Sheffield Technician was stepping over the cess leg at Barnetby, whilst carrying a Robel, when they slipped and stumbled and twisted their left ankle.  First aid treatment was not administered and hospital treatment was not required. The injured party (IP) was fit to carry on working.  Immediate cause: whilst carrying a Robel vertical tamper, the staff member stepped over the cess rail and stumbled and lost their balance. This caused their left ankle to give way. Underlying cause: complacency with the site conditions, as the staff member had undertaken that same movement many times that day. Remedial actions: brief IP on being more focused around the actions of carrying and moving the Robel in the vicinity of the raised check rail.",Level,Ballast,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,Other,Cause not established; Other cause,0.001,Workforce (on-duty): Non-severe
SMIS3016001,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/4558e967-d895-4eca-b317-918dc8ae80ef#!/report,2019-01-22 02:30:00.000,201811,Woking,slip trip or fall,PA - Staff Accident - Inner DU - IP suffered a twisted right ankle and a bang to the right shoulder after tripping on a cable in the Woking area,"At 02:30 a member of staff belonging to the Wessex inner delivery unit suffered a twisted right ankle and a bang to the right shoulder after tripping on a cable in the Woking area. The staff member had been walking in the cess when their foot caught on a cable causing them to fall. NR2072p: On the 22nd of January 2019, a Track Maintenance Technician based at Woking Permanent Way depot was walking in the 4ft of the Down Sidings while walking toward the site of work at 24m 60ch. The Technician was using a head-torch for personal lighting, as he was walking and not carrying out any other work and it was providing sufficient lighting for this task. As the Technician stepped out of the 4ft of the Down Sidings, to cross into the 4ft of the Down Slow, he believed that he had caught his foot on a cable that was situated within the area between the 2 lines and he fell, striking his right shoulder on a concrete base that was in the Down cess between the Down slow and down Sidings. He additionally twisted his right ankle. Following the fall, the Technician sought neither first aid treatment or medical attention. The accident was reported to the Incident Control Centre and follow up information was provided by the Technician's Supervisor. Photographic evidence of the area was also taken post-incident. Immediate cause: The Technician's foot caught on a cable situated between the Down Sidings and Down Slow. Underlying cause 1: They are a number of cables that are positioned within the Cess which are exposed and present a tripping hazard. These cables are at sleeper height and add to the already unstable surface.  Underlying cause 2: A piece of concrete which was left within the cess and which the Technician fell onto.  Remedial action 1: The Technician has been advised to 'Take 5' and assess whether the area that they are using is the most suitable for stepping into and if no other options are available, to take more time and assure clearance over all obstacles.  Remedial action 2: The Woking Maintenance team are to ascertain what it's purpose is and remove it, if it is not providing a function.  First Aid: No Lost time: 1 day Direct to hospital: No >24 hours in hospital: No",Level,,,Network Rail,Infrastructure worker,,Error or violation; Other,Cause not established; Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS3016000,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/b00d35aa-9a90-4a0a-a791-9c949970102c#!/report,2019-01-22 02:48:00.000,201811,South Gyle,slip trip or fall,STF - Edinburgh DU - IP tripped over the rail at Turnhouse and sprained middle right finger.,"A member of staff had completed packing and upon completion, stepped back and tripped over rail in the 6foot. Member of staff had copper gun in hand and the handle jammed the member of staff's hand on the rail and staved Middle Right Finger at ECN2, 5m 1000yds - Turnhouse. Immediate cause:- IP tripping over scrap rail in 6ft. Underlying cause:- 1/ Scrap rail lying in 6 foot - this scrap rail should have been identified as a potential hazard on arrival at site prior to the commencement of works. 2/ IP possible lack of hazard awareness due to being a ""blue hat"" and still under mentorship. Remedial actions:- 1/ GA25 compliant 60ft scrap rail left in sixfoot with plan to remove in Wk.44-45. SM(T) to brief staff on reliance to be accurate in COSS brief re scrap rail on sites. 2/ Greater awareness of ""Take 5"" process and IP should raise concerns with COSS during shift on moving worksite. SM(T) should assign a ""buddy"" to the ""blue hat"" members of staff.",Level,Ballast,,Network Rail,Infrastructure worker,,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3016003,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/b105df2b-eb8f-451d-bfa7-a344619b55f5#!/report,2019-01-22 06:30:00.000,201811,South Wales Control Centre,slip trip or fall,PA. Control staff slipped on walkway at SWCC,A member of Control staff advised that he slipped on the walkway between the Route Control and Cardiff Central due to icy conditions and had injured his arm and leg. He was making his way home and would contact Control to advise if A&E or GP was required. Not a time loss at this moment. Walkway was closed by the Route Control Manager until conditions improved.,,,,Network Rail,Other: Control staff,,,,0.001,Workforce (on-duty): Non-severe
SMIS3016027,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/ebfdf53b-a76d-44f8-8f80-76832e1b1bad#!/report,2019-01-23 14:20:00.000,201811,Shepreth Branch Jcn,slip trip or fall,"PA - (Tottenham DU) - IP twisted his ankle whilst walking trackside, stepped into a ditch at Shepreth Branch Junction. RIDDOR 7+.","At 14:20 hours member of staff working at Shepreth Branch Junction twisted his ankle whilst walking trackside. At the time he had stepped of a troughing lid and foot landed in a small ditch. Location: Shepreth Branch Junction. Injury: Ankle twist. X Ray confirmed no broken bones. First aid not given and IP attended hospital for treatment. Lost time: UPDATE 05/06/2019 - IP is on currently on light duties waiting for OH Assist to offer a date for assessment. Has been offered rehab work but wanted to wait until his OH assessment. SM to re - offer Rehabs work. (WHSEA) update when returned to full duties. UPDATE 04/03/2019 - IP returned to full duties 4th March 2019 and continued with Rehab works. Preliminary Report and Investigation Form (Level 1) IMMEDIATE CAUSES / UNDERLYING CAUSES / REMEDIAL ACTIONS - Immediate cause: Twisted and badly sprained right ankle on uneven ground IP stepped off raised troughing route walking from substation back to vehicle to collect hand tools. - Underlying cause: Using troughing as walking route to and from site. - Underlying cause classification: Work environment. - Remedial actions: Brief IP on safe walking route and not to use troughing. - Underlying cause: Walking on uneven ground. - Underlying cause classification: Work environment. - Remedial actions: Survey walking route on or near the line and close call bad environment to prevent further injury to other staff. brief IP on close call procedure. - Underlying cause: Low ankle boots. - Underlying cause classification: Equipment. - Remedial actions: Order high supporting tall boots for better support for rail environment.  - Underlying cause: No approved  safe walking route to and from substation. - Underlying cause classification: Work environment. - Remedial actions: Maybe close call access and egress for substation to provide authorized  walking route. BEHAVIOURAL CAUSE AND ACTIONS - Please describe the unsafe act: Walking on troughing route. - Was the action deliberate? No. - Please explain: As this was the best walking route to and from substation. - Informed about procedures? Yes. - Please explain: This is covered under basic PTS. - If 'Yes', procedures clear and workable? Yes. - Please explain: Trained to work on track.  Behavioural Cause: Slip/lapse. Level of investigation required: No further investigation required.",Level,Ballast,,Network Rail,Infrastructure worker,,Other,"Preliminary Report and Investigation Form (Level 1) IMMEDIATE CAUSES / UNDERLYING CAUSES / REMEDIAL ACTIONS - Immediate cause: Twisted and badly sprained right ankle on uneven ground IP stepped off raised troughing route walking from substation back to vehicle to collect hand tools. - Underlying cause: Using troughing as walking route to and from site. - Underlying cause classification: Work environment. - Remedial actions: Brief IP on safe walking route and not to use troughing. - Underlying cause: Walking on uneven ground. - Underlying cause classification: Work environment. - Remedial actions: Survey walking route on or near the line and close call bad environment to prevent further injury to other staff. brief IP on close call procedure. - Underlying cause: Low ankle boots. - Underlying cause classification: Equipment. - Remedial actions: Order high supporting tall boots for better support for rail environment.  - Underlying cause: No approved  safe walking route to and from substation. - Underlying cause classification: Work environment. - Remedial actions: Maybe close call access and egress for substation to provide authorized  walking route. BEHAVIOURAL CAUSE AND ACTIONS - Please describe the unsafe act: Walking on troughing route. - Was the action deliberate? No. - Please explain: As this was the best walking route to and from substation. - Informed about procedures? Yes. - Please explain: This is covered under basic PTS. - If 'Yes', procedures clear and workable? Yes. - Please explain: Trained to work on track.  Behavioural Cause: Slip/lapse. Level of investigation required: No further investigation required.; Cause not established; Other cause",0.01,Workforce (on-duty): Severe 7
SMIS3016034,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/10886764-44b8-432d-982f-bd1d003bfb88#!/report,2019-01-23 23:45:00.000,201811,Southall,slip trip or fall,"PA - MAC Rail Civils Operative stood on a plywood pile cap, which gave way under his weight. His right leg slipped partially into the pile and he fell backwards, jarring his right knee. Southall [SCO40900] IP-GW&C","A MAC Rail Civils Operative, working on behalf of Murphys, was working around a CHS pile between platforms 2/3 at Southall, stood on the plywood pile cap, which gave way under his weight. His right leg slipped partially into the opening and the operative fell backwards, jarring his right knee. The operative was taken to Ealing Hospital for assessment. Following hospital assessments and X-rays, there was no lasting damage found to the leg, however the IP has been supplied with a leg brace & crutches and scheduled a MRI scan to check the injury further. The IP returned to site to give statements before being taken home by a colleague. The IP decided not to return for his next planned shift due to the anticipated cold weather. The IP was deemed fit to work. Immediate cause - Unsafe behaviours by the team at the time of the incident - Violation - lack of awareness of surroundings. Unsafe behaviours by the team at the time of the incident - Error - Personal Risk Perception.",Level,Other: Plywood,,"J Murphy & Sons Ltd., Other, CrossCountry, Network Rail, Other, CrossCountry",Infrastructure worker,Duties to maintain track or infrastructure,Error or violation,Lack of familiarity with location,0.001,Workforce (on-duty): Non-severe
SMIS3016273,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/a9ec4d16-5710-44d1-b848-ab794303df9e#!/report,2019-01-24 23:30:00.000,201811,Abercynon,slip trip or fall,PA. Colas Rail staff injured getting out of a van at Abercynon. SCO 40971,"A Colas Rail employee called to report twisting his right ankle and grazing his left arm at Abercynon access point. First aid administered by dressing his elbow. Person reported when getting out of his van he had twisted his ankle, tripped over and grazed his arm and advised he was a bit shook up but ok.  Report and photo had been sent in, and administered first aid by dressing his elbow. Person said he was fit to carry out his duties. The following day the person was contacted for a welfare check, the ambulance people were with him and reported that his left arm, right leg and lower back were all hurting plus he had a headache, he did say at one point in the conversation that he had whiplash. Follow up MRI scan showed torn ligaments in left knee. Immediate cause: Person reported when getting out of his van he had twisted his ankle, tripped over and grazed his arm and advised he was a bit shook up but ok to continue shift after a rest with coffee.  Underlying cause: Ice/frost on the ground caused the person to slip when getting out of his van. Remedial action: An email reminding all operators to be aware of the dangers of trips, slips and falls during the winter.",Level,Other: earth,,"Colas Rail, Network Rail",Infrastructure worker,,The person's environment,Surface condition,0.01,Workforce (on-duty): Severe 7
SMIS3016729,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/baf888d1-e0a7-4ff2-a31a-c4b2d07bf4fd#!/report,2019-01-25 12:15:00.000,201811,Oakley Up Fast HABD (S7788R),slip trip or fall,"PA - STF - IP Central contractor fell through a drain covered by rotten sleepers near the boundary fence near Moor End Lane Road Bridge, Oakley area hurting his shoulder. SCO 41245","Late Reported At 1215 the Injured Person (IP), a member of Siemens staff working for IP Central, was walking from boundary fence on the outside, and there was a drain covered with rotten sleepers which the IP fell through. He landed on his rear and jolted his shoulder in the process, giving him some pain. The incident was reported to control and sprayed around the hole to make visible for others. The IP was checked over by the first aider and no hospital treatment was required. The IP sat down for 20 minutes and then continued his shift. Immediate Cause Operative fell down a hole. Potentially a uncovered drainage hole. Underlying Cause Under covered hole obscured by vegetation. Remedial Actions The hole has been marked with spray paint and reported to the PC. The hole should be covered",Level,Other: Earth,,"Network Rail, Siemens Mobility",Infrastructure worker,,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3016099,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/6927499d-6bb0-4581-906d-ccc489a50fa0#!/report,2019-01-27 02:15:00.000,201811,Glasgow Central High Level,slip trip or fall,PA - Glasgow DU - While inspecting track IP tripped over plastic troughing and injured shoulder at Glasgow Central,"The injured  Member of Staff (MOS), who is a Infrastructure Technician for Glasgow Central Maintenance Team was carrying out  Basic Visual Inspection (BVI) duties through Glasgow Central Platform 2, on the 27/01/2019. IP had a cap lamp and inspection torch with him while carrying out these duties. During the course of his patrol the IP tripped on a partially buried plastic channel crossing, which was situated throughout the 4ft. This plastic channel crossing was used to protect Signal and Telecoms equipment from damage. The IP said he was preparing himself for stepping over the Tie Bars also situated in the 4ft, when his foot suddenly came into contact with the top  part of the partially buried channel. This resulted in him stumbling forward and falling to the ground. As a result, he landed directly on a site in front of him where 3 No. tie bars were located. He tried to break his fall with his right hand and jarred his right shoulder in the process. He also sustained bruising to his left knee in the process of falling to the ground. IP insisted he did not need any first aid administered and never attend the hospital. IP also completed his patrol after the accident.  The Injured Party (IP) phoned Control to report the incident immediately, who in turn called the Level 2 On Call. The (IP) had subsequently also closed called the incident. Close Call reference: 370601 This accident didn't result in a Lost Time Injury (LTI), IP returned to work on his next shift commencing on the 29/01/2019.  S&T had been engaged to ascertain if the equipment channel running through the 4ft was 'live' or 'redundant'. Offending channel had been sprayed up to highlight its presence. Immediate cause:- Tripping over partially buried plastic S&T equipment channel in the 4ft causing a tripping hazard. Underlying cause:- 1/ Location of plastic channel in 4ft not highlighted meaning IP was not aware of its existence. 2/ The condition of the plastic channeling, which has resulted in it becoming discolored and not easily distinguishable from surrounding environment.  Remedial actions:- 1/ The channel has been sprayed up on the ground to highlights its position with white spray paint as a temporary measure. If Plastic Channel cannot be removed it will be highlighted in patrolling diagrams and excess ballast covering channel will be removed. 2/ S&T have been engaged to ascertain if the equipment channel running through the 4ft is 'live' or 'redundant'. If it is live they will install new a new channel to improve the current state and ensure it is highlighted or, if possible, buried under the ballast. If it is redundant then it will be removed.",Level,Ballast,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,"Infrastructure, vehicles, equipment and clothing; The person's environment",Darkness; Obstructed view; Obstructed walkway or track,0.001,Workforce (on-duty): Non-severe
SMIS3016107,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/fb68284d-713c-452e-a9a9-c02119a803cb#!/report,2019-01-27 03:35:00.000,201811,Birkenhead Central (Liverpool Line),slip trip or fall,PA - Liverpool DU: Trackworker slipped on the Up Chester line at Birkenhead Central and injured knee,"A Track Quality Supervisor advised that they had a fall at Birkenhead Central on the Up Chester Line at the 2MP. Injuries included bruising to both knees and also lower back. No Hospital treatment was required, no absence from work was expected, no golden hour declared.",,,,Network Rail,Infrastructure worker,,,,0.001,Workforce (on-duty): Non-severe
SMIS3016108,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/98629866-b9de-43db-9c76-b9e23de4f8ed#!/report,2019-01-27 05:00:00.000,201811,Havant (P'mth Direct ML),slip trip or fall,PA - Contractor Accident - Outer DU - IP suffered a bruise to the right knee after slipping on a cable in the Havant area,"At around 05:00 or 06:00 a contractor working for the Wessex outer delivery unit suffered a bruise to the knee after slipping on a cable in the Havant area. The contractor stood up straight away and appeared to have no injuries. The contractor went to hospital for a cut and bruised knee. The contractor later reported it was only a bruise they suffered. NR2072p: Whilst working on the WPH2 at 44m 01cn, on Saturday the 26th of January, ta contractor from Ganymede was helping the welders move a weld trimmer.  When the IP moved, he slipped on a Tri-pod light that was lying on the floor and hit his knee on the trimmer.  The IP suffered a bruise to his right knee but did not require hospital attendance and returned to work on another site the following night. The area was not well lit and was in the main pathway between the works and a trolley with equipment stored on it. The Golden hour principles were followed. Immediate cause: IP Slipped on equipment left trackside. Underlying cause: A tripod light was left in the track next to a trolley. This was not well lit and was in the main pathway between the works and trolley with equipment stored on it. Remedial action: It should be re-briefed to ensure that the work area should be left tidy and in a safe manner. Areas of work and storage of materials/tools should be well lit and any obstructions between both should be removed or clearly identified. First Aid: No Lost time: No Direct to hospital: No >24 hours in hospital: No",Level,,,"Ganymede Solutions Ltd, Network Rail",Infrastructure worker,,Error or violation; Other,Cause not established; Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS3016181,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/7ba51ec7-ffaf-4491-aaf5-519f0602b6d7#!/report,2019-01-27 05:00:00.000,201811,Elgin,slip trip or fall,STF WD: Contractor fell within a work-site at Elgin and dislocated left shoulder.,"Whilst undertaking works to temporary relocate a grid panel walkway for upcoming works, an operative involved with the operation took a step into the 4-foot, where he thought he was stepping onto the abutment shelf. However, the abutment was constructed at a skew to the superstructure, his foot slipped off the abutment shelf and went down 1ft into the void created by the removed panel. The distance of the fall was not large enough for his fall arrest equipment to deploy. The operative steadied himself by holding out his left arm to grab onto the rail and waybeam. This action, caused his left shoulder to dislocate upon connecting with the rail. The operate got up on his own accord and initially indicated that he was fine. The accident occurred at the end of the works, so all operatives were finishing up at the time. On completion of the shift, the operative asked to attend A&E. After attending Dr Gray's hospital in Elgin, they confirmed it was dislocated, and popped it back in before sending the operative home.  No Lost time was incurred. Immediate cause:- The Immediate cause of the accident was the removal of the Walkway Panel. Underlying caused:- Incorrect placement of lighting caused shadows withing the 4-foot work area; combined with falling rain and cold temperatures, contributed to the operative mis-judging the angle of the abutment, leading to his foot slipping into the void. Remedial action:- As this was the last panel to be re-positioned, all the works required for this shift were completed. Upon reinstatement of these walkways at the end of the works, additional lighting will be provided for the 4-foot / or lit from underneath the bridge, which will ensure all walking routes and working areas are clearly visible.",Level,Brick,,"Network Rail, T. I. Protective Coatings",Infrastructure worker,Duties to maintain track or infrastructure,The person's environment,Darkness; Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3016504,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/e0798617-870c-4e6f-927e-0c70cfacba30#!/report,2019-01-27 06:00:00.000,201811,Horsley,slip trip or fall,Staff 36115 27/01/2019 Lineside: the river of 5D12 0635 Guildford - Epsom slipped on the lineside bank between Horsley and Clandon when removing a fallen tree from the Up line in front of their train. They sustained a sprained wrist,The driver of 5D12 0635 Guildford - Epsom reported that they slipped on the lineside bank between Horsley and Clandon when removing a fallen tree from the Up line in front of their train. They sustained a sprained wrist but did not require medical attention and were fit to continue working the train.,Sloped,Other: Earth/grass,,"Network Rail, South Western Railway",Train driver,Other duties,"Infrastructure, vehicles, equipment and clothing; The person's environment",Low rail obstruction; Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3016109,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/d82ef96d-74ac-4ea4-a7de-4e209e136e0e#!/report,2019-01-27 21:30:00.000,201811,Stowe Hill Tunnel,slip trip or fall,PA: IP Track contractor suffered ankle injury due to stepping into pot hole when exiting road vehicle at Stowe. SCO 40943.,"Whilst stepping from his vehicle, an IP Track contractor lost his footing due to a pot hole on the access road. The individual suffered bruising/spraining to his left ankle. He was taken to A&E at Northampton General hospital. No lost time.",,,,"Babcock Rail, Network Rail",,,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3016106,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/02ebdeea-7f93-4261-985d-29f26f3cb993#!/report,2019-01-27 22:32:00.000,201811,Sittingbourne,slip trip or fall,"PA DU Ashford - IP slipped and injured his right shoulder, arm and hip at Sittingbourne",IP was crossing from cess to four foot and con rail cables were bunched up and IP slipped over a con rail cable and fell on to right shoulder/ right arm & right side of hip. No pain relief given and IP was going to continue his shift with his work group and will not be left to work on his own.,,,,Network Rail,Infrastructure worker,,Error or violation,Tripping over own feet,0.001,Workforce (on-duty): Non-severe
SMIS3016167,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/3faf68c9-1c6b-4e8f-a50a-93cb15f30a47#!/report,2019-01-28 11:55:00.000,201811,Faygate,slip trip or fall,PA - DU Brighton Staff member tripped over an AWS Magnet and injurted his left calf muscle and left hand at Bewbush LC near Faygate.,"At 11:55 it was reported that a Brighton DU member of staff was conducting a track patrol in the vicinity of Bewbush OCC Crossing, he tripped over an AWS Magnet cable and tumbled. As a result IP had hurt his left calf muscle, left hand which had swollen. IP was also carrying a spanner in his right hand and as a result, had bent back the ring finger on his right hand as well, which caused some pain.  IP advised he is ok to continue and did not require first aid or a hospital visit. IP does not anticipate any time off work would be required. Immediate cause: Whilst stepping over obstruction IP foot was caught by a cable, this resulted in a loss of balance and fall.  Underlying cause: TRIPPING ON CABLES, AWARE THEY WHERE THERE BUT LEFT FOOT WHEN WALKING OVER CAUGHT THE CABLE, USING IPHONE AND MY WORK APP IN THE FOUR FOOT AND CARRYING PWAY SPANNER MAY OF NOT HELPED REGAN BALANCE SOONER. Remedial actions: IP has been brief by manager to us app in a stationary position to avoid this incident Please describe the unsafe act: stepping over obstructions when dealing with I-device. Was the action deliberate?  No Please explain: staff member was stepping over obstruction, but due to lack of attention and holding equipment in both hands his foot was caught, Informed about procedures? Yes  Please explain: part of the COSS briefing. If 'Yes', procedures clear and workable? Yes  Please explain: part of the COSS briefing. Behavioural Cause: Slip/lapse",,Ballast,,Network Rail,Infrastructure worker,,Other,"Immediate cause: Whilst stepping over obstruction IP foot was caught by a cable, this resulted in a loss of balance and fall.  Underlying cause: TRIPPING ON CABLES, AWARE THEY WHERE THERE BUT LEFT FOOT WHEN WALKING OVER CAUGHT THE CABLE, USING IPHONE AND MY WORK APP IN THE FOUR FOOT AND CARRYING PWAY SPANNER MAY OF NOT HELPED REGAN BALANCE SOONER. Remedial actions: IP has been brief by manager to us app in a stationary position to avoid this incident Please describe the unsafe act: stepping over obstructions when dealing with I-device. Was the action deliberate?  No Please explain: staff member was stepping over obstruction, but due to lack of attention and holding equipment in both hands his foot was caught, Informed about procedures? Yes  Please explain: part of the COSS briefing. If 'Yes', procedures clear and workable? Yes  Please explain: part of the COSS briefing. Behavioural Cause: Slip/lapse; Other cause",0.001,Workforce (on-duty): Non-severe
