"smis_reference","event_date","period","place","report_title","sub_event","personal_accident_type","fwi_2013"
SMIS4353476,2019-08-06 16:55:00.000,201905,Eastbourne LMD,Personal accident form,other event resulting in injury fatality,,0.001
SMIS2325533,2019-08-06 21:00:00.000,201905,Cardiff Canton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2318420,2019-08-07 08:12:00.000,201905,Kirkham Depot MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2318416,2019-08-07 14:24:00.000,201905,Gillingham (Kent) MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with road vehicle,0.001
SMIS3020681,2019-08-07 20:45:00.000,201905,Aylesbury LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021494,2019-08-08 00:00:00.000,201905,Allerton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS021136,2019-08-08 00:00:00.000,201905,Heaton LMD,Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS3020313,2019-08-08 00:01:00.000,201905,Ramsgate Train Maintenance Depot,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS191138,2019-08-08 11:15:00.000,201905,Toton TMD,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.01
SMIS2318652,2019-08-08 14:00:00.000,201905,Whitemoor Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2318493,2019-08-10 04:00:00.000,201905,Crown Point LMD (Norwich),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020477,2019-08-10 11:30:00.000,201905,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020316,2019-08-10 12:00:00.000,201905,Orpington Tcd (LMD) (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020327,2019-08-11 11:20:00.000,201905,Shoeburyness CSD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2318720,2019-08-11 14:10:00.000,201905,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2318506,2019-08-12 08:15:00.000,201905,London Euston PSB MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4353649,2019-08-13 23:55:00.000,201905,Stewarts Lane LMD (London),Personal accident form,other event resulting in injury fatality,,0.001
SMIS3026364,2019-08-13 23:55:00.000,201905,Stewarts Lane LMD (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020402,2019-08-14 06:10:00.000,201905,Kensal Green MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS3020395,2019-08-14 06:25:00.000,201905,Bournemouth West LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021403,2019-08-15 00:00:00.000,201905,Barrow-In-Furness LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2318615,2019-08-15 11:01:00.000,201905,Cwmbach Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction; incorrect usage of level crossing,,0.001
SMIS191140,2019-08-15 11:05:00.000,201905,Hull LMD,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS3020441,2019-08-15 22:00:00.000,201905,Cardiff Canton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2318699,2019-08-17 19:48:00.000,201905,Cardiff Canton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2318690,2019-08-18 11:00:00.000,201906,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020472,2019-08-18 12:00:00.000,201906,Doncaster Up Decoy,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020533,2019-08-19 14:30:00.000,201906,Tyne Yard,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020506,2019-08-20 00:00:00.000,201906,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS4354003,2019-08-20 11:00:00.000,201906,Selhurst Depot,Personal accident form,person interaction,Interaction with an animal,0.001
SMIS3020649,2019-08-21 03:45:35.000,201906,Orient Way,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS021097,2019-08-21 04:43:00.000,201906,Orpington Portacabins Cp MDU,Awkward Body Movement,awkward body movement,Awkward body movement,0.01
SMIS3020612,2019-08-21 10:15:00.000,201906,Stoke On Trent MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2318777,2019-08-21 16:55:00.000,201906,Cardiff Canton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021300,2019-08-22 00:00:00.000,201906,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021301,2019-08-23 00:00:00.000,201906,Allerton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2318935,2019-08-23 00:33:00.000,201906,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020624,2019-08-23 05:38:00.000,201906,Tyseley LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020582,2019-08-23 09:15:00.000,201906,Crewe Coal Sidings,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2319474,2019-08-24 00:00:00.000,201906,Heaton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2318949,2019-08-26 00:00:00.000,201906,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021089,2019-08-26 00:00:00.000,201906,Heaton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS176641,2019-08-26 09:24:00.000,201906,Corkerhill Depot,"Non-rail vehicle colliding with animal, object or another road vehicle",non rail vehicle collision,,0.001
SMIS3020609,2019-08-26 23:37:00.000,201906,Wigan Nw MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021147,2019-08-27 00:00:00.000,201906,Heaton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3027723,2019-08-27 04:38:00.000,201906,Cardiff Canton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2318890,2019-08-27 11:18:00.000,201906,Wigan Nw MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020625,2019-08-27 23:50:00.000,201906,Mossend,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2318851,2019-08-28 03:40:00.000,201906,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020869,2019-08-28 10:00:00.000,201906,East Ham LMD (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.125
SMIS3020664,2019-08-29 00:00:00.000,201906,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020665,2019-08-29 00:00:00.000,201906,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS4354298,2019-08-29 01:00:00.000,201906,Selhurst Depot,Personal accident form,other event resulting in injury fatality,,0.001
SMIS2324987,2019-08-29 01:00:00.000,201906,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS191168,2019-08-29 10:15:00.000,201906,Shoeburyness CSD,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS4354304,2019-08-29 11:30:00.000,201906,Victoria MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2318914,2019-08-30 07:15:00.000,201906,Perth S&T MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with an animal,0.001
SMIS3020763,2019-08-30 13:30:00.000,201906,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020731,2019-08-31 00:00:00.000,201906,Derby MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2318960,2019-09-01 08:50:00.000,201906,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4354407,2019-09-02 04:25:00.000,201906,Hornsey LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020775,2019-09-02 11:45:00.000,201906,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2321325,2019-09-02 14:15:00.000,201906,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2318987,2019-09-02 15:00:00.000,201906,Ilford LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319023,2019-09-03 00:00:00.000,201906,Reading (Cow Lane) MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319297,2019-09-03 08:45:00.000,201906,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020812,2019-09-03 13:30:00.000,201906,Wembley Depot,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2318968,2019-09-03 14:10:00.000,201906,Tonbridge MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with railway infrastructure,0.001
SMIS2319128,2019-09-04 09:30:00.000,201906,Orient Way,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS2319016,2019-09-04 14:00:00.000,201906,Soho LMD (Birmingham),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319011,2019-09-04 23:46:00.000,201906,Shrub Hill LMD (Worcester),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319039,2019-09-05 11:25:00.000,201906,Singlewell IMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020885,2019-09-06 22:00:00.000,201906,Blackpool North LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2319096,2019-09-06 23:15:00.000,201906,Slade Green LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4317105,2019-09-09 08:00:00.000,201906,,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020907,2019-09-09 10:00:00.000,201906,Wimbledon LMD (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020913,2019-09-09 12:30:00.000,201906,East Ham LMD (London),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2319108,2019-09-09 13:20:00.000,201906,Shrewsbury MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319149,2019-09-10 01:20:00.000,201906,Hayes & Harlington Tarmac Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS2319153,2019-09-10 09:00:00.000,201906,Heaton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3020894,2019-09-10 12:17:00.000,201906,Holbeck Jcn & Depot (Leeds),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2319200,2019-09-10 14:00:00.000,201906,Heaton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS211426,2019-09-10 15:00:00.000,201906,Etches Park LMD (Derby),Person exposed to a hazardous substance,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS3020905,2019-09-10 23:30:00.000,201906,Blackpool MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020938,2019-09-11 09:10:00.000,201906,Neville Hill LMD (Ns) Northern Rail,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3020956,2019-09-12 11:04:00.000,201906,Tyseley LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS3021044,2019-09-13 07:35:00.000,201906,Doncaster Belmont Yard,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2319264,2019-09-13 09:00:00.000,201906,Canton Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021005,2019-09-13 09:15:00.000,201906,Slade Green LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS4354852,2019-09-13 09:45:00.000,201906,Brighton Ced Swimu MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS211231,2019-09-13 17:05:00.000,201906,Etches Park LMD (Derby),Person exposed to a hazardous substance,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS2320035,2019-09-13 18:51:00.000,201906,Banbury Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with train,0.001
SMIS4354870,2019-09-14 04:35:00.000,201906,Horsham Buildings MDU,Personal accident form,other event resulting in injury fatality,,0.001
SMIS2319412,2019-09-14 10:30:00.000,201906,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310973,2019-09-15 07:40:00.000,201907,Stourbridge Junction Sidings,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS2325532,2019-09-15 21:00:00.000,201907,Cardiff Canton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021051,2019-09-16 00:20:00.000,201907,Trafford Park,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS4354931,2019-09-16 01:00:00.000,201907,Brighton Ced Swimu MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS2319314,2019-09-16 05:28:00.000,201907,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319948,2019-09-16 08:30:00.000,201907,Eastcroft LMD (Nottingham),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319317,2019-09-16 13:24:00.000,201907,Eastcroft LMD (Nottingham),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021232,2019-09-16 15:20:00.000,201907,Whitemoor Yard,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2319311,2019-09-16 23:00:00.000,201907,Slade Green LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4354952,2019-09-17 15:30:00.000,201907,Selhurst Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2320084,2019-09-18 02:45:00.000,201907,Banbury Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4354955,2019-09-18 08:30:00.000,201907,Selhurst Depot,Personal accident form,other event resulting in injury fatality,,0.001
SMIS021124,2019-09-18 12:45:00.000,201907,Ilford LMD (London),Awkward Body Movement,awkward body movement,Awkward body movement,0.001
SMIS4354958,2019-09-18 15:30:00.000,201907,Stewarts Lane LMD (London),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319452,2019-09-18 20:30:00.000,201907,Inverness LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS3021184,2019-09-18 23:30:00.000,201907,Corkerhill LMD (Glasgow),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021144,2019-09-19 00:00:00.000,201907,Bristol St Philips Marsh LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021557,2019-09-19 09:30:00.000,201907,Salisbury LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS4355047,2019-09-19 19:00:00.000,201907,Brighton Ced Swimu MDU,Personal accident form,other event resulting in injury fatality,,0.001
SMIS4355057,2019-09-20 00:03:00.000,201907,Brighton Ced Swimu MDU,Personal accident form,other event resulting in injury fatality,,0.001
SMIS2319419,2019-09-20 13:41:00.000,201907,Hither Green,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with an animal,0.001
SMIS0114968,2019-09-20 22:30:00.000,201907,Barrow MDU,Assault and abuse,assault and abuse,Assault or abuse,0.001
SMIS4355156,2019-09-21 01:00:00.000,201907,Welwyn Garden City Bridge MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS2320110,2019-09-22 03:10:00.000,201907,Banbury Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS021123,2019-09-22 11:00:00.000,201907,Newton Heath LMD (Manchester),Awkward Body Movement,awkward body movement,Awkward body movement,0.01
SMIS2319442,2019-09-22 16:11:00.000,201907,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021196,2019-09-23 00:00:00.000,201907,Whitemoor Yard,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021235,2019-09-23 09:00:00.000,201907,Eastleigh,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS4355268,2019-09-23 09:00:00.000,201907,Selhurst Depot,Personal accident form,other event resulting in injury fatality,,0.001
SMIS4355271,2019-09-23 13:00:00.000,201907,Selhurst Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021245,2019-09-24 04:27:00.000,201907,Freightliner Leeds,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.125
SMIS3021223,2019-09-24 10:00:00.000,201907,Woolley Coal Siding,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2319557,2019-09-24 12:42:00.000,201907,Doncaster Belmont Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2320135,2019-09-24 13:45:00.000,201907,Aylesbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with train,0.001
SMIS3021226,2019-09-24 20:46:00.000,201907,Corkerhill LMD (Glasgow),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021298,2019-09-25 08:40:00.000,201907,Mossend,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021310,2019-09-25 11:50:00.000,201907,Orient Way,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2319558,2019-09-26 02:30:00.000,201907,Toton TMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319547,2019-09-26 09:44:00.000,201907,Crewe Sorting Siding North,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021295,2019-09-26 11:00:00.000,201907,Cricklewood Depot,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021370,2019-09-27 00:40:00.000,201907,Corkerhill CSMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2319679,2019-09-27 01:35:00.000,201907,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319686,2019-09-27 03:40:00.000,201907,Heaton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with train,0.001
SMIS4355367,2019-09-27 09:45:00.000,201907,Selhurst Depot,Personal accident form,other event resulting in injury fatality,,0.001
SMIS2319634,2019-09-28 00:00:00.000,201907,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS191190,2019-09-28 11:55:00.000,201907,Scunthorpe Goods Yard,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS2319582,2019-09-29 05:20:00.000,201907,Cricklewood Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319826,2019-09-29 20:13:00.000,201907,Cardiff Canton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319741,2019-09-30 00:00:00.000,201907,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021343,2019-09-30 07:50:00.000,201907,Woking Down Yard,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2321567,2019-09-30 10:00:00.000,201907,Crewe Gresty,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS021131,2019-09-30 10:30:00.000,201907,Newton Heath LMD (Manchester),Awkward Body Movement,awkward body movement,Awkward body movement,0.01
SMIS2319700,2019-09-30 11:25:00.000,201907,Kirkdale TCS (LMD) (Liverpool),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS191192,2019-10-01 00:55:00.000,201907,"Mossend Yard, Tcd, Euro-P, Ts5, Nch & Pd Sterlings",Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS2319618,2019-10-01 05:00:00.000,201907,Guildford Up Carriage Sidings,"Person interacting with animal, object,  vehicle or another person",train fault; person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319668,2019-10-01 08:50:00.000,201907,Inverness LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021381,2019-10-01 10:54:00.000,201907,Kingmoor Maintenance Depot & Offices (DRS),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS3021398,2019-10-01 12:00:00.000,201907,Holbeck Jcn & Depot (Leeds),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2319648,2019-10-01 15:00:00.000,201907,Plymouth Tavistock JCN MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2320322,2019-10-02 22:15:00.000,201907,Banbury MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with train,0.001
SMIS3022052,2019-10-03 03:41:00.000,201907,Cambridge Adj Mill Rd MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS3021436,2019-10-03 12:07:00.000,201907,"Bescot Tcd, Dn & Up Yards",Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2319783,2019-10-03 13:30:00.000,201907,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS4355518,2019-10-04 11:38:00.000,201907,Barnham MDU,Personal accident form,electric shock; person interaction,Electric shock,0.001
SMIS2319781,2019-10-04 23:50:00.000,201907,Toton TMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2321324,2019-10-05 03:25:00.000,201907,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319736,2019-10-06 14:49:00.000,201907,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4355696,2019-10-07 14:00:00.000,201907,Welwyn Garden City Bridge MDU,Personal accident form,other event resulting in injury fatality,,0.001
SMIS2319862,2019-10-08 00:00:00.000,201907,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319773,2019-10-08 06:00:00.000,201907,Millerhill,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319776,2019-10-08 14:30:00.000,201907,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319769,2019-10-08 21:32:00.000,201907,Birkenhead Central LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2320078,2019-10-09 00:00:00.000,201907,DRS Carlisle - Kingmoor,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021561,2019-10-09 02:45:00.000,201907,Crown Point LMD (Norwich),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2319778,2019-10-09 09:00:00.000,201907,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2323363,2019-10-09 13:10:00.000,201907,Newcastle On Tyne Forth Yd MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3027608,2019-10-10 00:00:00.000,201907,Dover Priory MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2319802,2019-10-10 03:00:00.000,201907,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021666,2019-10-10 13:00:00.000,201907,Heaton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2320261,2019-10-10 19:00:00.000,201907,Banbury Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS191201,2019-10-10 21:15:00.000,201907,Shoeburyness CSD,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS3021633,2019-10-11 20:12:00.000,201907,Cardiff Canton LMD,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS3021631,2019-10-12 02:50:00.000,201907,Soho LMD (Birmingham),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.01
SMIS2319891,2019-10-13 11:30:00.000,201908,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS3021598,2019-10-13 21:41:00.000,201908,Etches Park LMD (Derby),Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS2320083,2019-10-14 00:00:00.000,201908,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS2319900,2019-10-14 07:00:00.000,201908,Port Talbot MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with road vehicle,0.001
SMIS191215,2019-10-14 10:30:00.000,201908,Romford MDU,Other event resulting in injury or fatality,other event resulting in injury fatality,,0.001
SMIS2319908,2019-10-14 19:51:00.000,201908,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS2319938,2019-10-15 00:00:00.000,201908,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
