"smis_reference","event_date","period","place","report_title","personal_accident_type","description"
SMIS176888,2019-09-25 09:00:00.000,201907,QUAY ROAD   FORMER FUELLING SIDING ON DO,"Non-rail vehicle colliding with animal, object or another road vehicle",,Bridge Strike - Late reported bridge strike by unknown vehicle Quay Road - 213m 75.75ch. Not serious
SMIS3021310,2019-09-25 11:50:00.000,201907,Orient Way,Slip trip or fall,"Slip, trip, fall",Train Pres contractor STF in depot
SMIS2232519,2019-09-25 16:36:00.000,201907,Bristol East Depot,Person in a prohibited area,,Trespass - 1A25 (GWR 1630 Bristol TM - Paddington) children were playing on redundant bridge in the vicinity of Bristol East Jn depot.
SMIS2618278,2019-09-25 18:00:00.000,201907,Salisbury LMD,Railway operating incident,,Depot Irreg Working 25/09/2019 Salisbury TCD:  Shunt move undertaken on the depot with the padlock removed from the DP system without the MM being aware.
SMIS062002,2019-09-25 23:30:00.000,201907,New Cross MDU,Environmental contamination,,ENV - RRV was delivered to site which had an oil leak at New Cross Gate Depot. SCO: 44066.
SMIS2319558,2019-09-26 02:30:00.000,201907,Toton TMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",oton TMD Production Manager  advises that ELT1  was removing a rubber stack from a bogie using a metal wedge and when he struck the wedge it shot back out and hit him in the face resulting in a cut to is upper lip.
SMIS2319547,2019-09-26 09:44:00.000,201907,Crewe Sorting Siding North,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA - Member of DU staff sustained a cut and brusing to their left middle finger after striking it with a hammer at Crewe Sorting Sidings North.
SMIS3021295,2019-09-26 11:00:00.000,201907,Cricklewood Depot,Slip trip or fall,"Slip, trip, fall","PA - STF - contractor slipped on muddy ground working at Cricklewood Depot and fell against concrete, cutting his left shin. SCO 43988"
SMIS072034,2019-09-26 14:34:00.000,201907,Peak Forest Tdc,Fire or explosion (train),,"56081 fire"
SMIS3021370,2019-09-27 00:40:00.000,201907,Corkerhill CSMD,Slip trip or fall,"Slip, trip, fall",Member of staff was walking through 1 reception when he tripped on some loose matting and fell to the ground sustaining a cut above his eye.
SMIS2319679,2019-09-27 01:35:00.000,201907,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Fitter injured fingers when changing cardon shaft
SMIS2618107,2019-09-27 03:15:00.000,201907,"Scunthorpe Trent, Redbourn & Staff Buildings",Railway operating incident,,"6N31- Loading irregulartity. 14 wagons unfit to travel as the load needed to be centralised longitudinally."
SMIS2319686,2019-09-27 03:40:00.000,201907,Heaton LMD,"Person interacting with animal, object,  vehicle or another person",Interaction with train,TPO injured when cleaning unit
SMIS4395526,2019-09-27 07:30:00.000,201907,Gidea Park Carriage Sidings,Personal accident form,"Slip, trip, fall","Slip, Trip or Fall"
SMIS4355367,2019-09-27 09:45:00.000,201907,Selhurst Depot,Personal accident form,,INV-ACC2805
SMIS176818,2019-09-27 19:11:00.000,201907,WESTWOOD LANE  COUSSMAKER SIDING,"Non-rail vehicle colliding with animal, object or another road vehicle",,Bridge Strike - Bridge No. 20/11 at Westwood Lane Bridge was struck by a double decker bus - SEA4544.
SMIS1116968,2019-09-27 22:09:00.000,201907,Salisbury Train Care Depot,Irregular signal aspect sequence,,COA - SY237 signal at Salisbury East Carriage Holding Sidings reverted G-R in front of 5L80 (SWR 22:24 Salisbury - Salisbury T&R.S.M.D) due to unknown reasons.
SMIS2319634,2019-09-28 00:00:00.000,201907,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Depot Staff at St Philips Marsh struck by internal  doors on board 166220 (Car 58620)
SMIS191190,2019-09-28 11:55:00.000,201907,Scunthorpe Goods Yard,Other event resulting in injury or fatality,,Personal Injury to GSTM
SMIS379749,2019-09-28 12:15:00.000,201907,Clapham Junction LMD (London),"Train striking or struck by animal, object or road vehicle",,Train striking object during shunt move 28/09/2019 Clapham TCD: Equipment cover on unit 450092 damaged during shunt moved on the depot. For cause testing arranged.
SMIS364805,2019-09-29 00:00:00.000,201907,DRS Carlisle - Kingmoor,Train Fault,,Wheel flats discovered at Kingmoor Depot
SMIS2319582,2019-09-29 05:20:00.000,201907,Cricklewood Depot,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool","PA - contractor on IP Central worksite at Cricklewood was struck in the face by a bond, small cut to side of nose. SCO 44017"
SMIS385782,2019-09-29 12:08:00.000,201907,Wembley C Sidings,Vandalism,,Graffiti on train in Wembley C Sidings
SMIS2319826,2019-09-29 20:13:00.000,201907,Cardiff Canton LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Minor Canton Depot While removing a coolant pipe a fitter's spanner slipped and bruised their arm.
SMIS3021376,2019-09-30 00:00:00.000,201907,Exeter Olds View Depot MDU,Slip trip or fall,"Slip, trip, fall",Shunter at Exeter Depot slipped on some diesel fuel and fell on his knees - near miss
SMIS2319741,2019-09-30 00:00:00.000,201907,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Fitter at Exeter Depot cut hand on metal grating
SMIS3021343,2019-09-30 07:50:00.000,201907,Woking Down Yard,Slip trip or fall,"Slip, trip, fall",PA - Staff Accident - Inner DU - IP suffered a sprain to their ankle after they went over on their ankle at the Woking down yard while going down a set of steps
SMIS2618147,2019-09-30 09:00:00.000,201907,Acton Yard,Railway operating incident,,"6L12 20:25 Burngullow to Bow, observed as being unevenly loaded or possibly overloaded"
SMIS329520,2019-09-30 09:01:00.000,201907,Gloucester Yard,Train-track control system brake application or fault,,"AWS - BHM DVR on 1V43 06:00 MAN-BRI, 220 008 603, was late to cancel the AWS for an unexpected TSR in the Gloucester Yard area."
SMIS2232671,2019-09-30 09:04:00.000,201907,London Euston PSB MDU,Person in a prohibited area,,Passengers on ECS (class 5) : Euston Up Carriage Sidings
SMIS2321567,2019-09-30 10:00:00.000,201907,Crewe Gresty,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Storesman hit elbow on shelving
SMIS2618122,2019-09-30 10:00:00.000,201907,Strawberry Hill LMD (London),Railway operating incident,,Irregular Working 30/09/2019 Strawberry Hill Depot: 5O97 was routed into siding which was was blocked due to engineering work.
SMIS021131,2019-09-30 10:30:00.000,201907,Newton Heath LMD (Manchester),Awkward Body Movement,Awkward body movement,Fitter sustained injury while on duty
SMIS2319700,2019-09-30 11:25:00.000,201907,Kirkdale TCS (LMD) (Liverpool),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",QSHE Manager was struck in the face by a plug socket that another member of Stadler staff was removing with his foot.
SMIS099648,2019-09-30 15:31:00.000,201907,Monks Siding,Incorrect usage of level crossing,,LC Misuse - Signaller reported that a child had put their foot on the skirt of the barrier as the barrier had been being raised at Monks Siding Level Crossing.
SMIS191192,2019-10-01 00:55:00.000,201907,"Mossend Yard, Tcd, Euro-P, Ts5, Nch & Pd Sterlings",Other event resulting in injury or fatality,,TS4   had a personal accident whilst in PD Stirling terminal
SMIS2618144,2019-10-01 01:45:00.000,201907,London Gateway Depot,Railway operating incident,,"4L08 15:25 Wakefield Europort - London Gateway. 3 FQA wagons arrived at LG not consistant with the wagons as per the consist"
SMIS2319618,2019-10-01 05:00:00.000,201907,Guildford Up Carriage Sidings,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff 36133 01/10/2019 Guildford: The driver of 5D10 pulled a muscle on their shoulder when an internal cab door came off its runners on unit 5702.
SMIS2319668,2019-10-01 08:50:00.000,201907,Inverness LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool","Staff member was climbing in and out of access panels to gain access to the valve when he cut his leg on the sharp edge of the panel. The sharp edge was then hammered flat. Protective clothing was worn as follows; Bump cap, boiler suit, safety glasses and safety footwear."
SMIS3021381,2019-10-01 10:54:00.000,201907,Kingmoor Maintenance Depot & Offices (DRS),Slip trip or fall,"Slip, trip, fall",PA - A member of Pway staff sustained an injury to their back whilst getting out of their vehicle at Kingmoor Yard.
SMIS3021398,2019-10-01 12:00:00.000,201907,Holbeck Jcn & Depot (Leeds),Slip trip or fall,"Slip, trip, fall",PA-IP Operative slipped and fell whilst using scissor lift on ramp at Holbeck DU and sustained injury to posterior and lower back. SCO ref 44047.
SMIS2319648,2019-10-01 15:00:00.000,201907,Plymouth Tavistock JCN MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA - a Plymouth DU MOS cut head on open window while walking past hut in Tavistock Yard.
SMIS213478,2019-10-01 16:30:00.000,201907,Crewe Gresty,Person exposed to a hazardous substance,Hazardous susbstance,"4H81 Dangerous Goods loaded unconsisted at Crewe"
SMIS385795,2019-10-01 17:42:00.000,201907,Darlington Park Lane ACE Sidings,Vandalism,,Vandalism – T&V Team advised thieves had targeted a new pile of railway sleepers stacked up at Darlington Sidings.
SMIS291106,2019-10-01 19:30:00.000,201907,Fairwater Yard (Taunton),Signal passed at danger,,"CAT A SPAD - 6Y15 (1858 Fairwater Yard to Cadoxton HOBC) passed GPL E626 signal by 1 loco length at Fairwater Yard, Taunton. E626 not a multi SPAD signal. [SCO 44049] NSC"
SMIS061992,2019-10-02 02:35:00.000,201907,Neville Hill LMD East Midlands Trains,Environmental contamination,,Oil spill at Neville Hill Depot
SMIS099665,2019-10-02 14:01:00.000,201907,Barway Sidings AHB,Incorrect usage of level crossing,,LC Misuse - Lorry touching lowered barrier with failed indication at Barway sidings level crossing.
SMIS379785,2019-10-02 15:30:00.000,201907,Inverness LMD,"Train striking or struck by animal, object or road vehicle",,Shunting Power car door strikes wall.
SMIS379782,2019-10-02 17:40:00.000,201907,Birch Coppice,"Train striking or struck by animal, object or road vehicle",,Whilst shunting 4O63 at Birch Coppice the rear wagon has collided with a gate within the terminal.
SMIS2320322,2019-10-02 22:15:00.000,201907,Banbury MDU,"Person interacting with animal, object,  vehicle or another person",Interaction with train,"16869/19 - Member of engineering staff knocked teeth on train at Banbury Depot"
SMIS379784,2019-10-03 03:01:00.000,201907,Crewe Iemd,"Train striking or struck by animal, object or road vehicle",,East Midlands Driver has had a collision whilst moving 66122
SMIS3022052,2019-10-03 03:41:00.000,201907,Cambridge Adj Mill Rd MDU,Slip trip or fall,"Slip, trip, fall",STAFF ACCIDENT - LATE RIDDOR REPORT - CBG DVR at Cambridge TMD tripped and fell on the walking route from the station resulting in cuts to his head and nose.
SMIS2232755,2019-10-03 10:22:00.000,201907,Tyseley LMD,Person in a prohibited area,,Passengers on ECS (class 5) : Tyseley Depot
SMIS3021436,2019-10-03 12:07:00.000,201907,"Bescot Tcd, Dn & Up Yards",Slip trip or fall,"Slip, trip, fall",Slip/Trip/Fall Bescot Yard
SMIS2319783,2019-10-03 13:30:00.000,201907,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff 40095 03/10/2019 Wimbledon TCD: A depot driver / shunter jarred / strained their back when operating number 44 handpoints. Lost time from duty
SMIS291118,2019-10-04 05:19:00.000,201907,Farnham LMD,Signal passed at danger,,SPAD 04/10/2019 Farnham Depot: 5N05 passed FD622 stop board on Farnham TCD without authority resulting in a Cat A SPAD.
SMIS385831,2019-10-04 06:40:00.000,201907,Barking,Vandalism,,DB tenant at Barking Intermodal reported the theft of some HV cables from their compound.
SMIS4355518,2019-10-04 11:38:00.000,201907,Barnham MDU,Personal accident form,Electric shock,INV-ACC3038
SMIS2319781,2019-10-04 23:50:00.000,201907,Toton TMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool","Team Leader  reports ELM2 has banged his head and twisted his neck whilst entering the drivers side door, No.2 cab 60002 at Toton TMD."
SMIS2321324,2019-10-05 03:25:00.000,201907,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Contractor 41753 05/10/2019 Bournemouth TCD:  Ccontracted train presentation staff  pulled a muscle in their right shoulder when operating the Duplex cleaning machine.
SMIS385815,2019-10-05 09:48:00.000,201907,Doncaster Marshgate Depot,Vandalism,,Vandalism-Palisade fencing cut and two cable drums stolen at Doncaster Marshgate Depot.
SMIS072037,2019-10-06 02:32:00.000,201907,Shoeburyness CSD,Fire or explosion (train),,Lighting stanchion on fire in Shoeburyness Carriage sidings
SMIS2618199,2019-10-06 03:30:00.000,201907,Peterborough West Yard (New England Yard),Railway operating incident,,OCC – Electrical Control Room Operator reported there had been a switching irregularity at Peterborough West Yard.
SMIS385817,2019-10-06 09:30:00.000,201907,Swanley MDU,Vandalism,,Vandalism - report of a theft at Swanley WD Depot
SMIS2319736,2019-10-06 14:49:00.000,201907,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff accident at Neville Hill depot
SMIS062000,2019-10-06 16:30:00.000,201907,Shrewsbury MDU,Environmental contamination,,Environmental. Oil leak on loco 97302 at Coleham Depot Shrewsbury. Cat 4. SCO 44107
SMIS4355696,2019-10-07 14:00:00.000,201907,Welwyn Garden City Bridge MDU,Personal accident form,,INV-ACC2937
SMIS2232933,2019-10-07 18:03:00.000,201907,Immingham,Person in a prohibited area,,"5 children around the wagons of 6H77 in the Hatfield and Stainforth area"
SMIS256707,2019-10-07 19:49:00.000,201907,Southend Victoria LMD,Railway infrastructure fault,,"Train failed to occupy ""XP"" clear alarm during passage of a shunt move between Down Sidings South and North at Southend Victoria."
SMIS2232931,2019-10-07 22:00:00.000,201907,Newton Heath LMD (Manchester),Person in a prohibited area,,DTL at Newton Heath reports that he was walking back from the offices when he noticed a male walking across the tracks.
SMIS364764,2019-10-07 22:01:00.000,201907,Polmadie LMD (Glasgow),Train Fault,,Rail Services - 5Z45 brake fault
SMIS2319862,2019-10-08 00:00:00.000,201907,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Minor injury received by fitter at Exeter Depot
SMIS2319773,2019-10-08 06:00:00.000,201907,Millerhill,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Contractor cut their finger on locker door edge when trying to pry open jammed door.
SMIS2232934,2019-10-08 13:45:00.000,201907,Acton,Person in a prohibited area,,intoxicated man driving a white van Reg CA65 VVK had gained entry to Acton Yard whilst following a another van.
SMIS2319776,2019-10-08 14:30:00.000,201907,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Contractor 40098 08/10/2019 Wimbledon TCD: Member of contracted fleet staff injured their finger when removing an anti-roll bar for maintenance.
SMIS2319769,2019-10-08 21:32:00.000,201907,Birkenhead Central LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Guard scalded her right hand with hot water when washing her hands in the toilet.
SMIS2232929,2019-10-08 22:25:00.000,201907,Neville Hill LMD (Ns) Northern Rail,Person in a prohibited area,,"OVERCARRIED - 5G63 21:16 LDS-NL, Male passenger allegedly mistook the ECS to Neville Hill for a train to Wakefield and was overcarried to shed."
SMIS2320078,2019-10-09 00:00:00.000,201907,DRS Carlisle - Kingmoor,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Driver trapped thumb in cab door
SMIS3021561,2019-10-09 02:45:00.000,201907,Crown Point LMD (Norwich),Slip trip or fall,"Slip, trip, fall",Train presentation host STF in NCP
SMIS2319778,2019-10-09 09:00:00.000,201907,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff 41665 09/10/2019 Salisbury TCD: MB3 struck on the nose by their ratchet when undoing a coolant hose to a unit engine.
SMIS2323363,2019-10-09 13:10:00.000,201907,Newcastle On Tyne Forth Yd MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Driver Trainer Manager sustained cuts and scrapes from foliage across the walking route at Tyne Yard Hitachi Compound
SMIS364812,2019-10-09 17:33:00.000,201907,Crofton,Train Fault,,"09/10/19 5A70 Track Circuit Actuator Fault"
SMIS3027608,2019-10-10 00:00:00.000,201907,Dover Priory MDU,Slip trip or fall,"Slip, trip, fall",Dover Driver alleges they fell over on Dover Sidings walkway
SMIS2232968,2019-10-10 00:30:00.000,201907,Shoeburyness CSD,Person in a prohibited area,,Intoxicated male walked into Shoeburyness Depot by way of a defective access gate
SMIS2322407,2019-10-10 02:00:00.000,201907,DRS Carlisle - Kingmoor,"Person interacting with animal, object,  vehicle or another person",Interaction with railway infrastructure,Personal Incident: hand injury
SMIS386819,2019-10-10 02:11:00.000,201907,Ferme Park Sidings,Vandalism,,"5Y24 departed Ferme Park when a wash plant operator noticed 3 vehicles tagged with graffiti."
SMIS2319802,2019-10-10 03:00:00.000,201907,Salisbury LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff 41667 10/10/2019 Salisbury TCD: An MB2 caught their hand on a fuel take on a unit when removing a fuel pipe and sustained bruising.
SMIS385845,2019-10-10 12:00:00.000,201907,Bounds Green Depot,Vandalism,,Vandalism - IPSNE contractors reported gates to their compound and a container at Bounds Green had been broken into. SCO 44144
SMIS3021666,2019-10-10 13:00:00.000,201907,Heaton LMD,Slip trip or fall,"Slip, trip, fall","Fitter slipped on wet floor, injury sustained"
SMIS35430,2019-10-10 16:58:00.000,201907,,Train derailment,,Derailment - Loco of DBC 6M49 (1755 Calvert – Acton Yard) derailed two axles when running around train at Calvert.
SMIS2320261,2019-10-10 19:00:00.000,201907,Banbury Depot,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool","17347/19 - Engineering member of staff pulled back whilst using fuelling hoses"
SMIS191201,2019-10-10 21:15:00.000,201907,Shoeburyness CSD,Other event resulting in injury or fatality,,Train Care Assistant twisted right wrist whilst carrying a bag of rubbish.
SMIS379945,2019-10-11 00:10:00.000,201907,Heaton LMD,"Train striking or struck by animal, object or road vehicle",,"142064 collided with two trolleys whilst moving within the shed building at Heaton depot number '3' shed line."
SMIS2618567,2019-10-11 05:41:00.000,201907,Freightliner Manchester,Railway operating incident,,"4M53 Missing tail lamp Trafford Park"
SMIS291123,2019-10-11 11:33:00.000,201907,Bournemouth Train Care Depot,Signal passed at danger,,CAT A SPAD - 5W18 (SWR 11:30 Bournemouth Depot to Bournemouth) passed BC1023 signal on the Outward line at Bournemouth Depot at red by one coach length. This signal is not classed as a Multi-SPAD.
SMIS3021633,2019-10-11 20:12:00.000,201907,Cardiff Canton LMD,Slip trip or fall,"Slip, trip, fall",Minor Canton Depot Employee has twisted his ankle on a drain cover when getting out of their car in the staff car park
SMIS2233092,2019-10-11 20:37:00.000,201907,Rotherham Steel Terminal,Person in a prohibited area,,Newell & Wright staff at Rotherham Steel Terminal have reported that a trespasser has been seen walking trough the terminal
SMIS364835,2019-10-12 00:00:00.000,201907,Grangemouth Yard,Train Fault,,Loose strap found on 4Z40 at Grangemouth
SMIS3021631,2019-10-12 02:50:00.000,201907,Soho LMD (Birmingham),Slip trip or fall,"Slip, trip, fall",Shunter at Soho depot sprained ankle while stepping over rail
SMIS365493,2019-10-12 04:13:00.000,201907,Craigentinny LMD (Edinburgh),Train Fault,,Disc Bolts found sheared.  Disc bolts found sheared during exam. (Bolt 2 - SEG 1) & (Bolt 6 - SEG 2) on wheel 5 42163
SMIS365494,2019-10-12 04:40:00.000,201907,Craigentinny LMD (Edinburgh),Train Fault,,"(Seg 1 - Dowelbolt 12) & (Seg 2 - Dowelbolt 8) To Renew/Drill Wheel 5. (Seg 1 - Dowelbolt 12) & (Seg 2 - Dowelbolt 8) Wheel 5 to drill post finding sheared bolts, Nil time to removed seized bolts. 42163"
SMIS1117180,2019-10-12 16:10:00.000,201907,North Pole Depot,Irregular signal aspect sequence,,Irregular sequence -  5A20 (1550 Paddington to North Pole) reported an incorrect aspect sequence with SN105 at Green whilst SN101 was at Red at North Pole Depot. Cause unknown
SMIS2319891,2019-10-13 11:30:00.000,201908,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Ramsgate engineer hit in face with wrench/extension bar working in pit
SMIS385866,2019-10-13 15:40:00.000,201908,"Bescot Tcd, Dn & Up Yards",Vandalism,,Trespass and Vandalism at Bescot North end
SMIS385860,2019-10-13 15:41:00.000,201908,Bescot Tmd,Vandalism,,Wagon graffiti at Bescot
SMIS386820,2019-10-13 16:01:00.000,201908,Bounds Green LMD,Vandalism,,"801205 Azuma unit found graffiti'd on Bounds Green"
SMIS2618344,2019-10-13 17:47:00.000,201908,Lynemouth Yard,Railway operating incident,,Bulk - 7006980045 Small Product Spillage
SMIS3021598,2019-10-13 21:41:00.000,201908,Etches Park LMD (Derby),Slip trip or fall,"Slip, trip, fall",Staff STF at Etches Park
SMIS2320083,2019-10-14 00:00:00.000,201908,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Late report: Labourer at Tyseley Depot scalded by water from pressure washer at Tyseley Depot
SMIS2621988,2019-10-14 05:25:00.000,201908,Bounds Green LMD,Railway operating incident,,Driver working 5D01 at Bounds Green reports box alarm sounding and train came to a stand with a 4701 fault.
SMIS2319900,2019-10-14 07:00:00.000,201908,Port Talbot MDU,"Person interacting with animal, object,  vehicle or another person",Interaction with road vehicle,PA. DU Cardiff E&P struck by van door at Port Talbot
SMIS191215,2019-10-14 10:30:00.000,201908,Romford MDU,Other event resulting in injury or fatality,,Other Injury - Altercation between Staff; Task PIC and NR Construction at Atlanta Boulevard Volker Compound- Romford. NR Construction staff injured hand. Crossrail. 6 days lost time.
SMIS2319908,2019-10-14 19:51:00.000,201908,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff accident at Neville Hill Depot
SMIS1588,2019-10-15 00:00:00.000,201908,Newton Heath LMD (Manchester),Machine plant equipment or tool failure,,Failure of lifting equipment
SMIS2319938,2019-10-15 00:00:00.000,201908,Exeter Olds View Depot MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Fitter at Exeter Depot grazed nose and cut head on snowplough of DMU
SMIS35432,2019-10-15 10:36:00.000,201908,Hoo Junction,Train derailment,,"6V18 Hoo Jn to Hither Green has derailed on reception line 'B' at Hoo Jn"
SMIS35433,2019-10-15 10:52:00.000,201908,Cwm Bargoed Yard,Train derailment,,"6C93 10:39 Cwmbargoed - Margam T.C. has derailed on the loading pad at Cwmbargoed."
SMIS2233127,2019-10-15 11:24:00.000,201908,Three Bridges Maintenance Depot,Person in a prohibited area,,Trespass - Vehicle parked through two access gates which are secured with abloy padlocks at Three Bridges Station.
SMIS062056,2019-10-15 12:00:00.000,201908,Whitemoor Yard,Environmental contamination,,ENV - Whitemoor AHD has found more asbestos and Tarmac in the spoil heap at Whitemoor. SCO 44203.
SMIS385872,2019-10-15 14:55:00.000,201908,Burrows Sidings,Vandalism,,Vandalism. 2 signals damaged at Swansea Burrows Sidings
SMIS2233130,2019-10-15 18:00:00.000,201908,Cardiff Tidal,Person in a prohibited area,,Three males and one female spotted trespassing in Cardiff Tidal while berthing 6V50 in the marsh sidings
SMIS2320344,2019-10-16 01:10:00.000,201908,Clapham Junction LMD (London),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Staff 42040 16/10/2019 Clapham TCD: Driver of 5D79 cut themselves on a cab seat frame.
SMIS4355957,2019-10-16 06:10:00.000,201908,Cambridge Adj Mill Rd MDU,Personal accident form,,INV-ACC2986
SMIS385878,2019-10-16 06:20:00.000,201908,Tinsley Smacc Tinsley Yard,Vandalism,,"66155 has suffered smashed windscreens to drivers and s/mans side at number 1 end"
SMIS364802,2019-10-16 06:38:00.000,201908,Cardiff Canton Depot (Pass),Train Fault,,"150259 20191015 WR056461 410822 5T00 SPEEDOMETER DEFECT"
SMIS379880,2019-10-16 08:35:00.000,201908,Doncaster Carr Depot,"Train striking or struck by animal, object or road vehicle",,SPA wagon 461048 has been propelled over the buffer stops
SMIS35434,2019-10-16 08:50:00.000,201908,Doncaster Wood Yard,Train derailment,,Derailment – A pike wagon 6T29 (08:15 Doncaster Wood Yard-Doncaster Wood Yard) had derailed at Doncaster Wood Yard.  (SCO 44201)
SMIS176951,2019-10-16 11:40:00.000,201908,Wellingborough,"Non-rail vehicle colliding with animal, object or another road vehicle",,Damage to Wellingborough van
SMIS3021681,2019-10-16 14:16:00.000,201908,Neville Hill LMD East Midlands Trains,Slip trip or fall,"Slip, trip, fall",Staff STF at Neville Hill Depot
SMIS3021685,2019-10-16 16:30:00.000,201908,Rhymney depot,Slip trip or fall,"Slip, trip, fall",Employee on existing the Rhymney Depot caught foot on scaffolding and tripped over twisted ankle.
SMIS3021713,2019-10-16 17:42:00.000,201908,Tyseley LMD,Slip trip or fall,"Slip, trip, fall",Advised by the SDM at Tyseley that a member of staff has hurt their leg after climbing down from the forklift after parking it up
SMIS2618440,2019-10-16 19:05:00.000,201908,Tees Yard,Railway operating incident,,"4S92 18:49 Tees Dock - Mossend Euroterminal - Loading irregularity-PVDU2002595 has arrived with the curtain open"
SMIS365495,2019-10-16 23:49:00.000,201908,Craigentinny LMD (Edinburgh),Train Fault,,No 3 wheelset brakes looped out.  6 outer backplate to renew 42110
SMIS1117247,2019-10-17 06:40:00.000,201908,Bournemouth Train Care Depot,Irregular signal aspect sequence,,COA - BC1014 signal at Bournemouth Middle Siding No 2 reverted (?-R) in front of 5M26 (05:10 Eastleigh TRSMD - Bournemouth) due to unknown reasons.
SMIS4356143,2019-10-17 10:30:00.000,201908,Selhurst Depot,Personal accident form,,INV-ACC3006
SMIS2618496,2019-10-17 12:34:00.000,201908,Etches Park LMD (Derby),Railway operating incident,,Near Miss at Etches Park involving contractors
SMIS021146,2019-10-17 13:30:00.000,201908,Newton Heath LMD (Manchester),Awkward Body Movement,Awkward body movement,Fitter injured shoulder during duty
SMIS2319963,2019-10-17 14:00:00.000,201908,Appleby Depot MDU,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA - Member of DU staff sustained swelling to their left elbow after hitting it on a bolt on the stair structure at Appleby.
SMIS34118,2019-10-17 22:56:00.000,201908,Freightliner Felixstowe,Train colliding with another train,,Felixstowe Port - Collision While shunting wagons
SMIS4356159,2019-10-18 00:53:00.000,201908,Letchworth (LMD),Personal accident form,"Interaction with plant, machine, equip or tool",INV-ACC2978
SMIS2319995,2019-10-18 07:00:00.000,201908,Hither Green,"Person interacting with animal, object,  vehicle or another person",Interaction with railway infrastructure,PA DU London Bridge - IP trapped his hand in the gate at Hither Green injurying his hands
SMIS2319999,2019-10-18 14:30:00.000,201908,Crown Point LMD (Norwich),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",NCP Contractor cut knee with sawing equipment
SMIS3021802,2019-10-18 18:30:00.000,201908,Faversham Yd Dn Sd MDU,Slip trip or fall,"Slip, trip, fall",Operative on boarding train over a bump and operative bumped into the toilet door. Resulting in pain to shoulder
SMIS2320004,2019-10-18 23:06:00.000,201908,Acton,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PI whilst undertaking replacement of TPWS aerial on 66110 in Acton Yard
SMIS3711951,2019-10-19 08:28:00.000,201908,Bounds Green LMD,"Train striking or struck by animal, object or road vehicle",,"Driver in 801205 at Bounds Green made 3 attempts to gain power, during these attempts the train has rolled back and struck the buffer stops."
SMIS2233294,2019-10-19 20:05:00.000,201908,Soho LMD (Birmingham),Person in a prohibited area,,Passengers on ECS (class 5) : Soho
SMIS3021730,2019-10-20 03:03:00.000,201908,Etches Park LMD (Derby),Slip trip or fall,"Slip, trip, fall",STF Contractor at Etches Park
